country_iso,mobile_subscriptions,gii_ict_services_imports,diversity_linguisticFractionalization,diversity_religiousFractionalization,creative_svc_audiovisual,creative_svc_other_personal_cultural_recreational,creative_svc_advertising_mktresearch_polling,creative_svc_architectural_engineering_technical,creative_svc_research,school_enrollment_tertiary,gii_creative_services,population,secure_internet_servers,gii_patent_applications,feature_films_produced,cultural_occupation,gii_creative_goods,foreign_investment,total_hospital_density_per_100k,gdp_per_capta_usd
ASM,1.2152267813999997,1.1,0.1733,0.6395,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,42908.372881355936,239.6085823290606,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,11597.510876
ATG,57.39060810535,1.1,0.1063,0.684,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,17.9171725,0.4,70487.83050847458,748.6846994572542,0.9,25.0,0.885,0.4,8.989442986214286,1.11,14920.970121666667
AUS,40.960103056063836,1.0,0.3349,0.8211,0.3944188802,1.0765208841666667,0.5129007215,2.681633976,1.0590291223333332,42.618423997741935,0.4,16963628.169491526,9225.084220737994,2.0,38.142857142857146,0.885,0.6,2.360303837204081,1.09,58138.03124166667
AUT,51.963952968212766,2.3,0.1522,0.4146,0.161242181875,0.38138871825,1.7622542184999999,4.9911028465,3.561398401,41.64501799846154,1.2,7827490.322033898,4359.011639287254,9.7,47.0,1.375,0.9,1.5530341016530609,1.09,48434.656886666664
AZE,27.653457168702126,0.5,0.2054,0.4899,0.22882860283333334,0.741582254,0.24232745375,1.29678962,0.043977624714285714,22.1925979988,0.1,7005570.322033898,86.87444503517915,1.1,61.42857142857143,0.885,0.0,15.218701656999995,7.97,5669.3995233333335
BDI,7.755367079382979,1.6,0.2977,0.5158,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,1.6757307927368421,0.3,5694381.355932203,1.687831852876886,0.9,6.75,0.885,0.1,0.3110051062708334,0.5,281.3286766666667
BEL,40.985140174446805,2.3,0.5409,0.2127,0.6422982169999999,0.13645190744444446,4.259518532777777,1.8004612872222223,3.3545011955555553,46.91088139166667,1.4,10122532.016949153,3577.0308622287416,6.0,68.14285714285714,1.045,1.6,7.403358093653059,1.09,44331.531500000005
BEN,19.449555977872343,1.1,0.7905,0.5544,0.009971127666666668,0.005746549,0.11459455762500001,0.2640094025,0.29264420999999996,4.836279771217391,0.0,5605437.644067797,2.1880044764310664,0.1,25.0,0.885,0.0,0.5472634015510204,0.41,860.147735
BFA,15.169106227297874,2.2,0.7228,0.5798,0.22882860283333334,0.8933753936666666,0.35478584550000003,0.074402068,0.06084810225000001,1.7457133341555555,0.1,9842116.847457627,1.1471175285505928,0.2,15.75,0.885,0.0,0.6819418684897959,0.31,655.9931150000001
BGD,17.131535360510636,0.2,0.0925,0.209,0.09978464233333333,0.016512321,0.690170558,1.053186345,0.5195841336666667,6.775751386166665,0.1,102619010.6440678,23.388982250770233,0.1,27.0,0.885,0.1,0.40551282074468087,0.17,1335.504075
BGR,41.851916885723405,1.1,0.3031,0.5965,0.37920528862499997,0.6242325461111111,0.8570264245555556,1.4050395795000001,0.768943405,35.243010834347835,1.4,8208770.915254237,8514.793104027463,1.5,20.0,0.99,0.8,4.662942235923077,1.09,7912.580088333335
BHR,49.30664756817021,0.4,0.4344,0.5528,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,18.72393739982353,0.4,601930.593220339,259.39028184195746,0.2,25.0,0.885,1.5,4.516309455846153,1.09,23801.34318
BHS,31.91524549986957,1.1,0.1855,0.6815,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,18.973345536923077,0.4,252352.2033898305,954.7607000322719,0.9,25.0,0.885,0.4,3.814541567000001,1.06,30640.915220000003
BIH,27.70553072844681,0.6,0.6751,0.6851,0.06489773674999999,0.26841625963750004,0.31055763733333336,1.29678962,0.7565329588680556,22.43132,0.0,3848893.0,430.15539041679705,1.9,13.428571428571429,0.9950000000000001,0.4,3.723706131190477,1.02,5254.81746
BLR,31.303160353851062,0.7,0.4666,0.6116,0.079567783,0.16018667433333333,0.9485048462500001,0.89045788875,0.5027387138,59.148270482926854,0.2,9532888.813559322,707.3147893482492,3.1,1.0,0.885,0.4,1.982673482777778,7.45,6553.46732
BLZ,18.362528305276594,1.1,0.6303,0.5813,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.53579666585714,0.4,204575.74576271186,2842.430635900874,0.9,25.0,0.885,0.4,4.857568228625,2.11,4868.774958333334
BMU,37.74259563948837,1.1,0.0,0.7112,0.22882860283333334,0.1043205635,1.3579970016666667,1.29678962,0.4396475394,23.763365328600003,0.4,57912.898305084746,7008.87008742521,0.9,25.0,0.74,0.4,2.39606958217647,1.09,85748.06541
BOL,23.517235960255324,0.9,0.224,0.2085,0.22619686766666666,0.054189567,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.1,7022452.186440678,40.1569238522847,0.7,8.25,1.28,1.3,2.5769800128163265,1.07,3167.0707116666667
BRA,32.405277894191485,1.6,0.0468,0.6054,0.10125641650000002,0.21035079710000004,1.1147346737,17.850809841000004,0.97366144075,35.628857490624995,0.5,144081947.98305085,503.23171784750025,1.7,122.28571428571429,0.83,0.2,1.9066015316122449,1.09,10123.584925000001
BRB,36.92016604480851,1.1,0.0926,0.6934,0.22882860283333334,0.068927488,0.690170558,3.8491620613333333,0.7565329588680556,29.3341349783,0.4,259961.6779661017,493.8396877357154,0.9,25.0,0.885,0.4,2.861804680333334,1.05,16129.018613999997
BRN,39.78537748286958,0.8,0.3438,0.4404,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,14.640545308133333,0.0,254811.54237288135,601.1118469234854,0.2,25.0,0.72,0.2,3.2478715927551023,1.44,34164.77145833333
BTN,18.75028195368085,1.1,0.6056,0.3787,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,5.790147997533334,0.4,489682.593220339,43.91353282979935,0.9,29.0,0.885,0.4,1.0365188162173913,1.72,2979.200315
BWA,37.736991150893616,1.0,0.411,0.5986,0.22882860283333334,0.26841625963750004,0.1570738697,1.9430461794,1.3700497824000002,8.193348816666665,0.0,1268583.8813559322,37.60107612864273,0.1,25.0,0.885,0.2,2.661946181266667,1.29,7533.608733333332
CAF,6.068369465808512,1.1,0.8334,0.7916,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,1.3393010333448274,0.4,2931986.3898305083,0.29083292897145563,0.9,25.0,0.885,0.4,0.9067692663265307,0.48,429.5892183333333
CAN,28.384182689042547,0.9,0.5772,0.6958,3.0102443701111112,0.36370592311111105,1.0199648609999998,6.789206351555555,5.1394878395,71.70108017279999,0.8,27348243.474576272,9028.995604220476,2.3,95.85714285714286,1.22,1.0,2.311569042714286,2.27,46732.599493333335
CEB,65.90896567175862,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,34.02083059224489,0.4,104366169.0677966,4640.467270974764,0.9,25.0,0.885,0.4,4.052423226464286,1.09,6569.8270225
CHE,47.34796644631914,4.2,0.5441,0.6083,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,32.65389784130434,0.8,6830225.101694915,15716.886717883042,16.5,102.71428571428571,1.22,3.8,3.350832440166667,1.09,82834.91705333332
CHI,31.169246283657937,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,138518.2033898305,156.81355077349306,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,6569.8270225
CHL,38.467086319446814,0.7,0.1871,0.3841,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,35.67992726545455,0.3,13220829.118644068,1922.0978372255684,0.9,37.142857142857146,0.46,0.2,4.000750522653062,1.04,14799.48439
CHN,23.317236772787233,0.8,0.1327,0.6643,0.1292978482,0.26841625963750004,1.6750011071,1.29678962,0.7565329588680556,12.86476066671111,0.5,1082618050.8474576,82.8076163735303,53.7,714.0,0.885,11.9,2.6147494111,1.09,8224.01319
CIV,24.29702273321277,1.9,0.7842,0.7551,0.00504536,0.00602416,0.593313912625,0.0425069025,0.013479743,4.505743996633334,0.1,12345537.966101695,4.478374695781663,0.2,25.0,0.885,0.1,1.4401476308163268,1.71,1525.9467116666665
CMR,16.183483712319152,1.1,0.8898,0.7338,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,5.735706660166667,0.3,12629258.38983051,2.638708307800884,0.3,25.0,0.885,0.0,1.0993797104693876,0.79,1440.7711399999998
COD,9.026688343295454,1.1,0.6871,0.6642,0.22882860283333334,0.21979471849999999,0.690170558,1.29678962,0.7565329588680556,2.7107793637741935,0.4,39157954.16949152,0.8153230137670658,0.9,25.0,0.885,0.4,1.8039763397346937,0.45,490.3730049999999
COG,24.122828066173913,1.1,0.8705,0.7021,0.22882860283333334,5.1367062975,0.690170558,1.29678962,0.7565329588680556,4.92481638618182,0.4,2584070.118644068,2.9152013010199744,0.9,25.0,0.885,0.4,7.24961896267347,1.09,2244.2872899999998
COL,31.854454106255318,1.4,0.0193,0.1478,0.7452246931000001,0.6940380577,0.8557873279000001,4.120288324300001,0.7565329588680556,22.673134562208336,0.3,32677903.644067798,184.16976195228096,0.8,38.0,0.885,0.2,2.2075056918163267,1.09,6900.1791650000005
COM,10.050812139382979,1.1,0.0103,0.0137,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,4.2102785746428575,0.4,436615.0,8.79996096558531,0.9,25.0,0.885,0.4,0.41081996841025653,0.68,1388.8386549999998
CPV,24.498111263808514,1.1,0.0,0.0766,0.0079254732,0.05662976077777778,0.003000942111111111,0.038281122,0.7565329588680556,13.223787366105263,0.4,358464.9830508475,133.07645751361247,0.9,25.0,0.64,0.4,4.140326388641025,1.0,3387.996483333334
CRI,31.87828794170213,1.4,0.0489,0.241,0.0035784376,0.0008186857142857144,0.075755674,0.0034340386666666667,0.0845410726,29.73888352642857,4.2,3120950.1694915253,461.46534517860374,0.2,7.142857142857143,0.49,0.4,3.736310323448979,0.84,11296.986069999999
CSS,55.98710765817241,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,11.481233716425535,0.4,5908851.050847458,344.8941951693338,0.9,25.0,0.885,0.4,3.7186338603469387,1.09,6569.8270225
CUB,5.162119490382979,1.1,0.0,0.5059,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,32.58505018510638,0.4,10092986.779661017,3.4508863671025107,0.9,10.0,0.885,0.4,2.1161067391836736,2.04,7653.414692
CUW,125.92267799000001,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,21.42857,0.4,144683.77966101695,1685.6051107916924,0.9,25.0,0.885,0.4,3.14975313425,1.09,19936.990582000002
CYM,59.35688426366666,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,29716.169491525423,4936.789048940317,0.9,25.0,0.75,0.4,616.9785178538461,1.09,56334.21399
CYP,45.74962077521276,8.1,0.3962,0.3962,0.10276914055555557,0.43783807100000005,0.7053515305555556,0.238517921,0.2823223054444444,20.039312624146344,0.1,820804.2033898305,4028.8893414874424,1.9,3.142857142857143,0.885,0.5,36.5368666996591,7.54,26084.356758333335
CZE,45.934777285212775,1.3,0.3233,0.6591,0.7391786167000001,0.34662007344444445,3.0562710132222226,2.461362888,0.737230359,30.30625991517022,0.5,10199384.13559322,9547.70686039371,2.7,55.142857142857146,1.21,10.1,4.753899120769231,1.29,19883.00849333333
DEU,44.90386636125532,2.1,0.1642,0.6571,0.5274407976000001,0.26841625963750004,2.1219711368888894,5.255752890222222,4.7826361686666665,52.12838244833333,0.9,79491251.59322034,13018.424536222667,17.5,226.71428571428572,1.26,2.2,1.2221131850416664,1.09,45231.420723333336
DJI,7.1911335540212775,1.1,0.6558,0.0435,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,1.3037204545,0.4,508973.66101694916,12.104154634550206,0.9,25.0,0.885,0.4,4.602703406606062,1.09,1801.5467033333334
DMA,38.65888309606384,1.1,0.0,0.4628,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,3.655184354142857,0.4,70452.03389830509,2214.3442281079074,0.9,25.0,0.885,0.4,5.393258297785714,5.56,7347.431153333334
DNK,48.54237395338297,3.0,0.1049,0.2333,0.43262143075,0.3675441235,0.8238312217142857,2.722364105875,1.8938733231428573,49.534597475217396,0.6,5193451.152542373,23522.94584034635,12.5,59.0,0.595,1.6,1.45412083777551,1.01,58234.57672333333
DOM,27.330472426886356,0.5,0.0395,0.3118,0.22882860283333334,0.26841625963750004,0.220177985,1.29678962,0.006203602,30.939054203916665,0.2,6987933.779661017,52.25608537676271,0.1,21.25,0.08,2.2,2.578419201367347,1.09,6876.1937450000005
DZA,28.242512355255315,0.7,0.4427,0.0091,0.07979806,0.09953960157142858,2.224560145285714,5.0116227879999995,0.7565329588680556,22.729258544592593,0.0,25004481.13559322,16.517870055600604,0.2,16.5,0.885,0.0,0.6896195153469384,1.09,4574.413453333334
EAP,33.434826308685714,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,12.959709739428574,0.4,1540655276.5932202,146.05681364681652,0.9,25.0,0.885,0.4,2.4486908190750003,1.09,6569.8270225
EAR,28.297641970657143,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,13.28439490261225,0.4,2023861718.7288136,151.83372515596795,0.9,25.0,0.885,0.4,1.2686108453061224,1.09,6569.8270225
EAS,33.28534282915789,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,15.642777953877552,0.4,1749237364.4237287,487.8001923253382,0.9,25.0,0.885,0.4,1.3108627971224487,1.09,6569.8270225
ECA,50.91092281287878,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,42.16431684755102,0.4,363009969.0,1177.3623215959917,0.9,25.0,0.885,0.4,1.4354553974222224,1.09,6569.8270225
ECS,49.352790904,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,41.955201363877556,0.4,816960021.4067796,4540.350952015138,0.9,25.0,0.885,0.4,2.3774663053877547,1.09,6569.8270225
ECU,27.184329976021274,0.0,0.1308,0.1417,4.1385034508,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,26.59614266936364,0.1,10257310.220338983,88.69560294918973,0.1,25.0,0.84,0.1,1.3008380492857141,0.33,6196.0634316666665
EGY,24.53412169238298,1.1,0.0237,0.1979,0.22882860283333334,0.5148388993333334,0.36433820266666667,1.29678962,0.7565329588680556,22.264360057333338,0.1,56817207.13559322,13.493886070633375,0.8,33.333333333333336,0.885,1.1,2.10732949277551,0.62,3126.1418150000004
EMU,54.55279807266667,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,43.84180103408163,0.4,309472613.4745763,7245.28821180123,0.9,25.0,0.885,0.4,2.3941059085208334,1.09,6569.8270225
ERI,2.411255692586956,1.1,0.653,0.4253,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,2.4404746246923077,0.4,1963891.3461538462,0.313277804693946,0.9,28.166666666666668,0.885,0.4,2.7636555706842105,0.36,6569.8270225
ESP,45.00234333452273,1.6,0.4132,0.4514,0.5630729154,0.7369323337142857,2.0308620666,3.1907856855999994,0.8695394755999999,46.48316128593618,1.0,39090082.66101695,2689.9705799543062,2.2,225.42857142857142,1.6749999999999998,0.9,2.0055286772448984,1.63,28334.457373333335
EST,48.01111415576595,2.2,0.4944,0.4985,0.1402022365,0.13347594999999998,2.534236480333333,0.6944124389999999,0.6113222875555556,50.990145685624995,1.6,1396602.6440677966,10922.553296344275,2.2,19.142857142857142,2.165,1.4,7.503916715730767,0.8,19681.344125
ETH,5.280403888782609,0.7,0.8073,0.6249,0.028563024142857142,0.26841625963750004,0.04744527666666667,0.07051736066666667,0.152875686,1.8531241651388888,0.0,53701129.38983051,0.4344205170783317,0.9,25.0,0.885,0.0,1.6951782762105267,0.22,660.4941816666667
EUU,53.83728134302563,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,41.2506038810204,0.4,471842046.91525424,7057.531270316149,0.9,25.0,0.885,0.4,2.4540820373265304,1.09,6569.8270225
FCS,24.0053763734074,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,6.864290804469387,0.4,276339826.5084746,9.360562467971583,0.9,25.0,0.885,0.4,1.4682768505918369,1.09,6569.8270225
FIN,54.950588786638306,3.7,0.1412,0.2531,0.06883866033333333,0.0618319655,0.738199568625,1.8241960869999998,1.7093022717500002,59.41810989914893,1.0,4976008.508474576,8574.697788743992,13.1,44.285714285714285,2.58,0.5,1.8996291880000002,1.38,46833.14906166666
FJI,25.10376469241304,1.1,0.5479,0.5682,0.07406847025,0.26841625963750004,0.051328603333333334,0.1435836822,0.0155521875,5.300218837882353,0.4,694300.8474576271,81.91969793108198,0.9,25.0,0.885,0.4,3.4819722710408167,0.0,5615.479931666668
FRA,37.064484223042555,2.2,0.1221,0.4029,0.922696565,0.7135312511111113,1.1944839058888888,1.8550104862,2.5749596302,42.27932435152174,1.3,57850209.949152544,5236.660582664977,8.8,280.2857142857143,1.19,1.7,1.3301837605306122,1.09,39886.658358333334
FRO,43.67114391132609,1.1,0.0,0.3147,0.5590706835714286,3.2862315693333333,0.5178399631666667,0.4234283776666667,0.11860606280000001,16.816667416959184,0.4,44043.813559322036,3352.5466429270446,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,55630.3076025
FSM,6.747138692155555,1.1,0.7483,0.6469,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,19.353210110857145,0.4,85977.96610169491,120.6740944503602,0.9,25.0,0.885,0.4,1.0549705476666666,4.83,2984.5988200000006
GAB,36.84345266117021,1.1,0.7821,0.6674,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,3.9513815848947362,0.4,1041161.1355932204,16.28198931911272,0.9,9.666666666666666,0.885,0.4,2.3751115743469384,3.53,8155.868798333332
GBR,47.28742035323405,1.8,0.0532,0.6944,0.9979523713333334,0.6407127942222224,1.8181403954444444,4.237202832111111,3.6324105294444444,39.690441816595744,2.0,58178214.30508474,8137.867216872899,6.4,300.7142857142857,0.885,2.9,3.0189396842653062,1.09,42890.26489333333
GEO,31.04285791380851,0.7,0.4749,0.6543,0.1274868929,0.5048930135999999,0.08122399333333334,0.0812963575,0.7565329588680556,41.693831199200005,0.5,4188744.4576271186,586.6812144408873,1.9,12.571428571428571,0.885,0.1,7.75938059825,2.21,4130.639353333333
GHA,25.33419205517021,1.1,0.6731,0.7987,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,6.749189166166666,0.4,15759057.627118643,26.07914013936758,0.1,25.0,0.69,0.0,2.5304211518163267,1.36,2045.43516
GIB,32.02899191997826,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,30029.101694915254,10707.259491050865,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,6569.8270225
GIN,16.50489665004348,0.2,0.7725,0.2649,3.8047897988333332,0.26841625963750004,0.11452428633333334,0.9817470535,0.7565329588680556,4.083523413114286,0.1,6784685.237288136,0.8973709627705213,0.0,25.0,0.885,0.0,2.578495988272728,0.37,794.2369116666665
GLP,31.169246283657937,1.1,0.0933,0.3069,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,7005570.322033898,156.81355077349306,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,6569.8270225
GMB,26.62039135138298,1.1,0.8076,0.097,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,1.937738329,0.4,1043949.779661017,12.353858624055754,0.9,25.0,0.885,0.4,2.336757181571428,0.7,673.8209400000001
GNB,14.79431408755319,1.1,0.8141,0.6128,0.22882860283333334,0.26841625963750004,8.835934743333333,1.29678962,0.7565329588680556,1.8180433296666667,0.4,1050954.6101694915,1.77399964388817,0.9,25.0,0.885,0.4,1.1456030822499998,56.45,672.6376366666667
GNQ,11.244230837446809,1.1,0.322,0.1195,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,2.7559432979999996,0.4,529477.3898305085,2.6367084944161894,0.9,25.0,0.885,0.4,17.691735376921052,1.09,13364.75557
GRC,43.45491890074468,1.1,0.03,0.153,1.3342577193333334,0.1982373386,0.5148514158749999,1.29678962,0.28994003949999997,48.59002324181818,0.7,9974454.322033899,1262.7453504575715,2.0,57.0,1.03,1.1,0.7919343487142857,1.09,19854.62437833333
GRD,28.42666041576087,1.1,0.0,0.5898,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,42.36823334677777,0.4,98940.89830508475,193.79961259597505,0.9,25.0,0.885,0.4,7.459822668428571,0.94,9313.69491
GRL,35.14214128434783,1.1,0.2188,0.4592,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,51390.32203389831,2168.040894849589,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,47713.1203175
GTM,33.46113098970213,0.9,0.4586,0.3753,0.034065551666666666,0.17026019725000002,0.3695467636666667,1.29678962,0.7565329588680556,8.054438200954547,0.0,9647707.525423728,31.064216521127232,0.0,25.0,0.885,0.3,1.3142625100204082,0.34,4037.423818333333
GUF,31.169246283657937,1.1,0.1154,0.4959,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,7005570.322033898,156.81355077349306,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,6569.8270225
GUM,7.0955193099393945,1.1,0.732,0.4082,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,16.816667416959184,0.4,123545.32203389831,459.9997493293723,0.9,25.0,0.885,0.4,2.1161067391836736,1.09,34830.694114
GUY,20.700673872804348,1.1,0.0688,0.7876,0.22882860283333334,0.26841625963750004,3.9303623633999996,1.29678962,0.7565329588680556,6.857122822071427,0.4,735109.5423728813,19.458238137767626,0.9,11.0,0.885,0.4,6.009169145489795,3.38,4315.993121666667
HIC,51.05457281007692,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,50.16403310510202,0.4,996130829.8135593,8044.764773450372,0.9,25.0,0.885,0.4,1.730388683142857,1.09,6569.8270225
HKG,76.65313173872342,0.3,0.2128,0.4191,0.251851453,0.138157494,0.781708372,0.3281310264444445,0.7565329588680556,34.63374123132258,0.1,5556488.220338983,4543.765551559026,0.7,53.142857142857146,0.885,9.9,14.038076217938777,1.09,43303.83288333333
HND,23.767098214340425,0.8,0.0553,0.2357,0.22882860283333334,0.26481139400000003,0.690170558,1.29678962,0.7565329588680556,11.56959796817647,0.0,5211764.338983051,28.81589969814714,0.1,6.25,0.35,0.1,2.727647006734694,0.36,2301.1518833333334
HPC,22.340521120178572,1.1,0.33294999999999997,0.46099999999999997,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,3.8901571357346936,0.4,388802240.1864407,5.498249613027196,0.9,25.0,0.885,0.4,2.150832954428571,1.09,6569.8270225
HRV,37.184267166042545,1.5,0.0763,0.4447,0.1347140331111111,0.4089641736666667,1.993464780777778,2.2904682828888894,0.39788755900000006,39.81954922379311,1.9,4437003.881355932,4224.066198225601,1.5,13.857142857142858,2.41,0.8,3.8458335662083343,1.54,13279.189741666667
HTI,13.706883214297871,1.1,0.0,0.4704,0.22882860283333334,0.26841625963750004,0.690170558,1.29678962,0.7565329588680556,0.8405699994444444,0.4,7093115.474576271,2.6218612191214596,0.9,25.0,0.885,0.4,0.8307194358367346,0.24,805.005115
