"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Gibraltar,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Gibraltar,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Gibraltar,Research and Development,..,..,..,..,..,..,..,..,..,..
Gibraltar,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Gibraltar,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Gibraltar,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Greece,"Advertising, market research and public opinion polling",0.654366554,0.61971981,0.509881108,0.472353622,0.494272872,0.468676257,0.442914392,0.456626712,..,..
Greece,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Greece,Research and Development,0.236672914,0.244044981,0.271633142,0.287578247,..,..,0.335772659,..,0.363938294,..
Greece,"Personal, cultural and recreational services",1.357976309,2.909814602,0.483799299,0.431456332,0.508278509,0.454930152,0.562906945,0.501094181,0.543112674,..
Greece,  Audiovisual and related services,1.063646856,2.667204166,0.271922136,-,-,-,-,-,-,-
Greece,"  Other other personal, cultural and recreational services",0.294242001,..,..,..,0.231865931,..,0.207429875,0.138455769,0.119193117,..
Greenland,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Greenland,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Greenland,Research and Development,..,..,..,..,..,..,..,..,..,..
Greenland,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Greenland,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Greenland,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Grenada,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Grenada,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Grenada,Research and Development,..,..,..,..,..,..,..,..,..,..
Grenada,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Grenada,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Grenada,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Guam,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Guam,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Guam,Research and Development,..,..,..,..,..,..,..,..,..,..
Guam,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Guam,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Guam,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Guatemala,"Advertising, market research and public opinion polling",0.833301851,0.136314068,0.137635724,0.388439002,0.173290203,0.234929788,0.166233766,0.632800908,0.622975563,..
Guatemala,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Guatemala,Research and Development,..,..,..,..,..,..,..,..,..,..
Guatemala,"Personal, cultural and recreational services",0.062901398,0.081788441,0.007646429,-,0,0,0,0.619708475,0.011192701,0.114781346
Guatemala,  Audiovisual and related services,0.049112203,0.045438023,0.007646429,..,..,..,..,..,..,..
Guatemala,"  Other other personal, cultural and recreational services",0.013789195,0.036350418,..,..,..,..,..,0.619708475,0.011192701,..
Guinea,"Advertising, market research and public opinion polling",..,..,..,..,0.308008214,0.009718173,..,..,0.025846472,..
Guinea,"Architectural, engineering and other technical services",..,..,..,..,..,2.21574344,0.719822813,0.44864605,0.542775911,..
Guinea,Research and Development,..,..,..,..,..,..,..,..,..,..
Guinea,"Personal, cultural and recreational services",-,-,0.506695621,-,2.197125257,2.283770651,5.481727575,8.107675052,4.251744637,-
Guinea,  Audiovisual and related services,..,..,0.506695621,..,2.197125257,2.283770651,5.481727575,8.107675052,4.251744637,-
Guinea,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,"Advertising, market research and public opinion polling",0.03335557,..,..,..,..,..,14.58635266,11.888096,..,..
Guinea-Bissau,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,Research and Development,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Guinea-Bissau,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Guyana,"Advertising, market research and public opinion polling",..,3.494869261,4.107096966,4.441765327,4.096658704,3.511421559,..,..,..,..
Guyana,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Guyana,Research and Development,..,..,..,..,..,..,..,..,..,..
Guyana,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Guyana,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Guyana,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Haiti,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Haiti,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Haiti,Research and Development,..,..,..,..,..,..,..,..,..,..
Haiti,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Haiti,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Haiti,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Holy See,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Holy See,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Holy See,Research and Development,..,..,..,..,..,..,..,..,..,..
Holy See,"Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Holy See,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Holy See,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Honduras,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Honduras,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Honduras,Research and Development,..,..,..,..,..,..,..,..,..,..
Honduras,"Personal, cultural and recreational services",0.001860837,0.000930703,0.048459309,0.010873388,0.005892027,0,0.264330129,1.199314853,0.586829906,0.611377063
Honduras,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Honduras,"  Other other personal, cultural and recreational services",0.001860837,0.000930703,0.048459309,0.010873388,0.005892027,..,0.264330129,1.199314853,0.586829906,..
Hungary,"Advertising, market research and public opinion polling",..,1.672177158,1.68522411,1.911253815,2.116922363,2.192768798,2.045812321,2.3883858,1.821605088,..
Hungary,"Architectural, engineering and other technical services",..,0.783512286,1.100988008,1.145360113,1.577350703,1.477080471,1.769038608,1.758216245,1.972374391,..
Hungary,Research and Development,..,2.107040284,1.801741798,2.187190874,2.511698724,2.084580231,2.132946799,2.581299791,2.438137326,..
Hungary,"Personal, cultural and recreational services",9.161777925,10.81554204,9.929341489,7.79132693,7.894068759,4.942603372,5.814709715,6.506439461,6.12143068,6.062505334
Hungary,  Audiovisual and related services,8.70789508,10.58382321,9.641916384,7.562710198,7.597010421,4.698406775,5.355848667,6.111934149,5.645667792,5.596043363
Hungary,"  Other other personal, cultural and recreational services",0.453887321,0.231670394,0.287423769,0.2285768,0.297056967,0.244226032,0.458863683,0.394527226,0.475760605,..
Iceland,"Advertising, market research and public opinion polling",..,..,..,..,..,..,0.127026091,0.132756079,0.11417934,..
Iceland,"Architectural, engineering and other technical services",..,..,..,..,..,..,1.088022742,0.79625538,1.195582311,..
Iceland,Research and Development,..,..,..,..,..,..,1.378599183,0.784128237,0.37645501,..
Iceland,"Personal, cultural and recreational services",0.266532731,0.527817549,0.804295754,0.664158662,0.380291523,0.577470075,0.277873874,0.838015881,0.717195093,-
Iceland,  Audiovisual and related services,..,..,..,..,..,..,0.159744803,0.670444581,0.38021279,-
Iceland,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,0.118086587,0.167531265,0.336946937,..
India,"Advertising, market research and public opinion polling",..,0.269387606,0.531276117,0.781702593,0.873175664,0.535019742,..,..,..,..
India,"Architectural, engineering and other technical services",..,2.197641644,4.988624963,5.626322062,3.607637966,1.989284147,1.809236914,..,..,..
India,Research and Development,..,0.308461922,0.637653182,0.960900673,1.365736826,1.572159319,..,..,..,..
India,"Personal, cultural and recreational services",-,0.119508685,0.211474795,0.439511775,0.58545547,0.660120787,0.466569713,0.26371438,0.248855585,0.54506407
India,  Audiovisual and related services,..,..,..,..,..,..,0,0.187027393,0.100960212,0.204410936
India,"  Other other personal, cultural and recreational services",..,0.119508685,0.211474795,0.439511775,0.58545547,0.660120787,..,..,..,..
Indonesia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Indonesia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Indonesia,Research and Development,..,..,..,..,..,..,..,..,..,..
Indonesia,"Personal, cultural and recreational services",-,0.391601773,0.441031989,0.641362847,0.440123645,0.506319483,0.572627418,0.621598731,0.766430205,0.9071523
Indonesia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Indonesia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Indonesia (…2002),"Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,_,_
Indonesia (…2002),"Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,_,_
Indonesia (…2002),Research and Development,_,_,_,_,_,_,_,_,_,_
Indonesia (…2002),"Personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Indonesia (…2002),  Audiovisual and related services,_,_,_,_,_,_,_,_,_,_
Indonesia (…2002),"  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,_,_
Iran (Islamic Republic of),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Iran (Islamic Republic of),"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Iran (Islamic Republic of),Research and Development,..,..,..,..,..,..,..,..,..,..
Iran (Islamic Republic of),"Personal, cultural and recreational services",-,0.855663139,1.100220044,1.252425472,1.212296147,1.261081284,1.726427623,1.750784835,-,-
Iran (Islamic Republic of),  Audiovisual and related services,..,0.385459379,0.498964793,0.573147822,0.552475105,0.572280497,..,..,..,..
Iran (Islamic Republic of),"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Iraq,"Advertising, market research and public opinion polling",..,..,..,..,..,0.00508001,0.932284324,0.423235636,0.10608954,..
Iraq,"Architectural, engineering and other technical services",..,..,..,..,..,0.142240285,0.17281368,0.744189327,0.774453639,..
Iraq,Research and Development,..,..,..,..,..,..,0.181909136,0.059958382,0.003536318,..
Iraq,"Personal, cultural and recreational services",-,-,-,-,0.126742712,0.157480315,0.150075038,0.105808909,0.109625858,-
Iraq,  Audiovisual and related services,..,..,..,..,..,0.142240285,0.145527309,0.102281946,0.109625858,..
Iraq,"  Other other personal, cultural and recreational services",..,..,..,..,0.126742712,0.015240031,0.004547728,0.003526964,..,..
Ireland,"Advertising, market research and public opinion polling",..,..,..,..,0.279576545,0.29287498,0.48667188,0.493870615,..,..
Ireland,"Architectural, engineering and other technical services",0.62474762,0.586932714,1.2339529,1.019817797,0.685697742,0.587222875,0.704120859,0.489832789,0.454277876,..
Ireland,Research and Development,0.869799786,0.839148414,0.684378346,0.622054648,0.757798253,0.735867728,0.965947485,0.565191993,..,..
Ireland,"Personal, cultural and recreational services",0.953278579,0.7825759,0.340114892,0.322416724,0.261918776,0.2707993,0.337268129,0.33911534,0.311855417,0.280434952
Ireland,  Audiovisual and related services,0.954936356,0.7825759,0.340114892,0.322416724,0.261918776,0.2707993,0.337268129,0.33911534,0.311855417,0.230671538
Ireland,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Israel,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Israel,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Israel,Research and Development,..,..,..,..,..,..,..,..,..,..
Israel,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Israel,  Audiovisual and related services,..,..,..,..,0.359301665,..,..,..,..,..
Israel,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Italy,"Advertising, market research and public opinion polling",1.471098364,1.551478813,1.497996732,1.366574867,1.380516384,2.034025686,1.927665675,2.183407234,1.626649328,..
Italy,"Architectural, engineering and other technical services",2.425025966,2.236299475,2.578724796,2.862694638,2.960344945,2.43990441,1.424509836,2.382415972,3.134888575,..
Italy,Research and Development,1.286619944,1.261126738,1.094637094,1.270050717,1.215441387,2.237758435,2.536251772,2.127232985,2.285104795,..
Italy,"Personal, cultural and recreational services",0.964964839,0.834396492,0.783075554,0.895385905,0.963548991,0.219562601,0.337103941,0.35340323,0.279837468,0.314674921
Italy,  Audiovisual and related services,0.244394689,0.385670084,0.350506287,0.351804107,0.308140033,0.107280501,0.198088205,0.134249964,0.063637344,-
Italy,"  Other other personal, cultural and recreational services",0.720570762,0.448726471,0.432569048,0.543581986,0.655408579,0.112180838,0.139030252,0.219044867,0.216070102,..
Jamaica,"Advertising, market research and public opinion polling",..,0.004745051,0.00429249,0.002831599,0.002771055,0.004293043,..,..,..,..
Jamaica,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Jamaica,Research and Development,..,..,..,..,..,..,..,..,..,..
Jamaica,"Personal, cultural and recreational services",0.954283282,1.238023098,1.272680446,1.177529939,1.07483697,1.381393951,1.300528945,1.416238297,1.42370268,2.017641691
Jamaica,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Jamaica,"  Other other personal, cultural and recreational services",0.954283282,1.238023098,1.272680446,1.177529939,1.07483697,1.381393951,..,..,..,..
Japan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Japan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Japan,Research and Development,..,..,3.174073244,2.62127645,2.638053978,2.59582366,3.263561054,2.895827822,2.896574651,..
Japan,"Personal, cultural and recreational services",0.182312133,0.074339942,0.08780261,0.11935494,0.121067055,0.10347593,0.126440212,0.105629381,0.109511139,0.123983872
Japan,  Audiovisual and related services,0.108786149,0.063397652,0.074251633,0.08858585,0.098156238,0.080268434,0.086226492,0.062263789,0.062366218,-
Japan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Jordan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Jordan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Jordan,Research and Development,..,..,..,..,..,..,..,..,..,..
Jordan,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Jordan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Jordan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Kazakhstan,"Advertising, market research and public opinion polling",0.707181611,0.766030092,0.840902156,0.80422173,1.152474659,1.694644104,1.625622974,0.92115008,0.759620013,..
Kazakhstan,"Architectural, engineering and other technical services",0.688785194,0.809331124,1.539058714,1.674784922,1.83697918,2.705808717,2.786084099,1.800285427,2.213340372,..
Kazakhstan,Research and Development,0.222917847,0.419024582,0.321256125,0.380239468,0.295791916,0.315957872,0.606223721,0.748788579,0.310408844,..
Kazakhstan,"Personal, cultural and recreational services",0.002686461,0.003483991,0.007404283,0.009649667,0.030805229,0.017579577,0.01952438,0.042743583,0.022823201,0.025531611
Kazakhstan,  Audiovisual and related services,0.002686461,0.003483991,0.006910664,0.009649667,0.026737143,0.013941644,0.019382727,0.016246323,0.019518384,0.021834623
Kazakhstan,"  Other other personal, cultural and recreational services",..,..,0.000493619,..,0.004068086,0.003637933,0.000118043,0.02649726,0.003326997,..
Kenya,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Kenya,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Kenya,Research and Development,..,..,..,..,..,..,..,..,..,..
Kenya,"Personal, cultural and recreational services",0.022043168,0.016125613,0.021062597,0.028812157,0.070088037,0.05780169,0.105660063,0.055687994,0.194110297,-
Kenya,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Kenya,"  Other other personal, cultural and recreational services",0.022043168,0.016125613,0.021062597,0.028812157,0.070088037,0.05780169,0.105660063,0.055687994,0.194110297,..
Kiribati,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Kiribati,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Kiribati,Research and Development,..,..,..,..,..,..,..,..,..,..
Kiribati,"Personal, cultural and recreational services",0.108151285,0.088964292,0.176925532,0.130349325,0.373069191,-,-,-,-,-
Kiribati,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Kiribati,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of","Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of","Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of",Research and Development,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of","Personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of",  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep. of","  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
"Korea, Republic of","Advertising, market research and public opinion polling",..,..,..,0.600960904,0.501542576,0.374249185,0.323455703,0.309798997,0.360182747,0.427770631
"Korea, Republic of","Architectural, engineering and other technical services",..,..,..,0.439989233,0.44263427,0.468694144,0.501628151,0.464583925,0.599744691,1.100909486
"Korea, Republic of",Research and Development,..,..,..,0.506137155,0.693474056,0.603631276,0.687547227,0.398362098,0.370995578,0.41306658
"Korea, Republic of","Personal, cultural and recreational services",0.217873022,0.287379548,0.538347727,0.648460741,0.613331361,0.582006029,0.710923018,0.729471234,0.97567428,1.129956754
"Korea, Republic of",  Audiovisual and related services,0.079772406,0.125055006,0.255705119,0.298193423,0.250565794,0.229271759,0.268821588,0.216080218,0.284702889,0.323669554
"Korea, Republic of","  Other other personal, cultural and recreational services",0.138100616,0.162324541,0.282642608,0.350267319,0.362765567,0.352513604,0.442101429,0.513391016,0.690971391,0.8062872
Kuwait,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Kuwait,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Kuwait,Research and Development,..,..,..,..,..,..,..,..,..,..
Kuwait,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Kuwait,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Kuwait,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Kyrgyzstan,"Advertising, market research and public opinion polling",0.386881432,0.546705942,0.799873562,0.750940656,0.416638068,0.369949189,0.179218556,0.778786086,0.17868253,..
Kyrgyzstan,"Architectural, engineering and other technical services",0.219359243,0.310292562,0.454096895,0.426166744,0.236576821,0.20991687,0.119672871,1.225744088,0.776230569,..
Kyrgyzstan,Research and Development,..,..,..,..,..,..,..,..,..,..
Kyrgyzstan,"Personal, cultural and recreational services",3.521126761,4.11292552,2.581182348,2.687438115,6.608817306,7.743711701,10.01960821,9.826439485,8.443555209,-
Kyrgyzstan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Kyrgyzstan,"  Other other personal, cultural and recreational services",3.521126761,4.11292552,2.581182348,2.687438115,6.608817306,7.743711701,10.01960821,9.826439485,8.443555209,..
Lao People's Dem. Rep.,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Lao People's Dem. Rep.,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Lao People's Dem. Rep.,Research and Development,..,..,..,..,..,..,..,..,..,..
Lao People's Dem. Rep.,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Lao People's Dem. Rep.,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Lao People's Dem. Rep.,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Latvia,"Advertising, market research and public opinion polling",4.069765492,4.786656481,5.224530751,4.874752365,4.485472237,4.930877725,4.801238028,5.174169317,4.407837455,..
Latvia,"Architectural, engineering and other technical services",0.465087577,0.624388048,0.571447457,0.47393742,0.633224958,0.645158879,0.464625835,0.870908396,1.424764783,..
Latvia,Research and Development,0.465087577,0.416221222,0.571447457,0.47393742,0.527728134,0.460830936,0.567876021,0.665974386,0.356196775,..
Latvia,"Personal, cultural and recreational services",0.232588975,0.104037035,0.244891881,0.270796785,0.263858292,0.276481678,0.258125203,0.307369572,0.489755814,0.350679262
Latvia,  Audiovisual and related services,0.232588975,0.104037035,0.081611695,0.067687415,0.105550697,0.138240839,0.103250081,0.153684773,0.267142404,-
Latvia,"  Other other personal, cultural and recreational services",..,0.104055305,0.163283873,0.135416112,0.105551049,0.138240418,0.154875278,0.153680126,0.222609036,..
Lebanon,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,0.988933347,0.99085201,..
Lebanon,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,3.26544006,2.084114574,..
Lebanon,Research and Development,..,..,..,..,..,..,..,0.180015457,0.149765049,..
Lebanon,"Personal, cultural and recreational services",-,-,3.68382E-05,-,-,-,2.96049E-05,1.261512665,0.841380836,-
Lebanon,  Audiovisual and related services,-,..,..,..,..,..,..,0.607254887,0.407620557,-
Lebanon,"  Other other personal, cultural and recreational services",..,..,3.68382E-05,..,..,..,2.96049E-05,0.654257779,0.433760279,..
Lesotho,"Advertising, market research and public opinion polling",0.022419849,0.020070534,0.022191401,0.019200768,0.018804062,0.018585633,0.018322149,0.03910164,0.052669279,..
Lesotho,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Lesotho,Research and Development,..,..,..,..,..,..,..,..,..,..
Lesotho,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Lesotho,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Lesotho,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Liberia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Liberia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Liberia,Research and Development,..,..,..,..,..,..,..,..,..,..
Liberia,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Liberia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Liberia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Libya,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Libya,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Libya,Research and Development,..,..,..,..,..,..,..,..,..,..
Libya,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Libya,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Libya,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Lithuania,"Advertising, market research and public opinion polling",2.438202943,1.923161743,1.457410624,1.521968522,1.403023979,1.668361627,2.313163652,2.151918341,2.11545891,..
Lithuania,"Architectural, engineering and other technical services",0.610911519,0.283023633,0.34297302,0.272802544,0.230404535,0.154658125,0.262399331,0.29862149,0.20255621,..
Lithuania,Research and Development,0.085062278,0.120179713,0.078809319,0.245862843,0.323987676,0.225805497,0.401506546,0.334833594,0.139555384,..
Lithuania,"Personal, cultural and recreational services",0.978414554,0.388942211,0.334075464,0.430956476,0.406686995,0.391122501,0.431140214,0.399072155,0.401371108,0.458006794
Lithuania,  Audiovisual and related services,0.603939561,0.222434078,0.093737698,0.203998326,0.120051286,0.075774773,0.051116128,0.013216024,0.021162818,0.029330516
Lithuania,"  Other other personal, cultural and recreational services",0.374455462,0.166525395,0.240344347,0.226952446,0.286634213,0.315339977,0.380027561,0.385863075,0.380235072,..
Luxembourg,"Advertising, market research and public opinion polling",1.844843432,1.674721014,1.504529362,1.388804065,1.320102113,1.281858621,1.322323265,1.207764944,1.273511603,..
Luxembourg,"Architectural, engineering and other technical services",0.258091045,0.251903617,0.177582141,0.161213608,0.13133434,0.160474267,0.149516103,0.290154145,0.466947371,..
Luxembourg,Research and Development,0.926641038,0.704452577,0.611398413,0.53023506,0.438132877,0.523369677,0.531958111,0.572208464,0.603652482,..
Luxembourg,"Personal, cultural and recreational services",0.638343241,0.55470123,0.597878851,0.651550255,0.9609375,1.302078851,2.18672628,3.129387622,3.939857318,4.235687244
Luxembourg,  Audiovisual and related services,0.602805691,0.508933801,0.569613254,0.624814195,0.921452702,1.286160492,2.161967261,3.114641056,3.906462077,4.207928323
Luxembourg,"  Other other personal, cultural and recreational services",0.035982315,0.045767685,0.028265405,0.026735304,0.039696044,0.015918784,0.024759582,0.014745919,0.033199552,..
Madagascar,"Advertising, market research and public opinion polling",0.026740046,0.013886307,0.008837861,..,..,..,..,..,..,..
Madagascar,"Architectural, engineering and other technical services",1.009592214,1.769680309,0.361950596,..,..,..,..,..,..,..
Madagascar,Research and Development,0.096077608,..,..,..,..,..,..,..,..,..
Madagascar,"Personal, cultural and recreational services",0.086438754,-,-,0.003003093,0,0,0,0.099139508,0.155969459,-
Madagascar,  Audiovisual and related services,0.086438754,..,..,..,..,..,..,..,..,..
Madagascar,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Malawi,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Malawi,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Malawi,Research and Development,..,..,..,..,..,..,..,..,..,..
Malawi,"Personal, cultural and recreational services",0.533533649,0.505899112,0.411461505,0.429370825,0.37425352,0.456976963,0.630910838,0.747817331,0.924935583,-
Malawi,  Audiovisual and related services,..,0.505654381,0.410008764,0.427527785,0.373482044,..,..,0.7475435,0.924208761,..
Malawi,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Malaysia,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Malaysia,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Malaysia,Research and Development,..,..,..,..,..,..,..,..,..,..
Malaysia,"Personal, cultural and recreational services",13.51169214,9.757993349,7.977083834,3.978792882,2.824873312,2.87453333,2.244610518,0.350482482,0.443566525,0.465166946
Malaysia,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Malaysia,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,2.244610518,..,..,..
Maldives,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Maldives,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Maldives,Research and Development,..,..,..,..,..,..,..,..,..,..
Maldives,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Maldives,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Maldives,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Mali,"Advertising, market research and public opinion polling",0.004013288,0.074642958,0.40723619,0.099572032,0.044866502,0.355932203,0.474658539,0.444605445,..,..
Mali,"Architectural, engineering and other technical services",..,0.055567535,..,0.000638282,..,..,0.005926177,0.235333363,..,..
Mali,Research and Development,0.032998149,0.287375388,..,0.034148101,0.016725383,0.07373982,0.024551304,0.07896568,..,..
Mali,"Personal, cultural and recreational services",0.077590243,0.012440493,0.110467829,0.089040375,0.169377683,0.055029716,0.155491591,0.170440774,-,-
