"Exports and imports of creative services, annual, 2003-2012 (Discontinued)",,,,,,,,,,,
,,,,,,,,,,,
MEASURE,Percentage of total trade in services,FLOW,Exports,,,,,,,,
,,,,,,,,,,,
,YEAR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,  Audiovisual and related services,-,0.206449076,0.202156333,0.20342524,0.143794148,0.133649791,0.142751535,0.116680442,0.14103089,-
Austria,"  Other other personal, cultural and recreational services",..,0.370297411,0.357436664,0.294142553,0.36326938,0.437818416,0.425705414,0.452136833,0.350303075,..
Azerbaijan,"Advertising, market research and public opinion polling",..,..,0.01786347,0.096289912,0.153181461,0.243620389,0.144362931,0.417939961,0.408465089,0.456896417
Azerbaijan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Azerbaijan,Research and Development,..,..,..,0.001489568,0.021883066,0.044511919,0.103662479,0.016367541,0.024526941,0.095401859
Azerbaijan,"Personal, cultural and recreational services",0.576398229,0.531684623,0.439265665,0.31919308,0.259711112,0.251954261,1.534699384,2.318750769,0.442583163,-
Azerbaijan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Azerbaijan,"  Other other personal, cultural and recreational services",0.576398229,0.531684623,0.439265665,0.31919308,0.259711112,0.251954261,1.534699384,2.318750769,0.442583163,..
Bahamas,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Bahamas,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bahamas,Research and Development,..,..,..,..,..,..,..,..,..,..
Bahamas,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Bahamas,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Bahamas,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Bahrain,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Bahrain,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bahrain,Research and Development,..,..,..,..,..,..,..,..,..,..
Bahrain,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Bahrain,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Bahrain,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Bangladesh,"Advertising, market research and public opinion polling",0.787699668,0.929077294,0.655404324,0.724305196,0.418594295,0.625942571,..,..,..,..
Bangladesh,"Architectural, engineering and other technical services",0.411098371,0.271465637,0.317854283,0.334075557,3.264021177,1.720603045,..,..,..,..
Bangladesh,Research and Development,0.457456903,0.53369775,0.491513211,0.427340816,0.683864823,0.523631299,..,..,..,..
Bangladesh,"Personal, cultural and recreational services",0.399138067,0.04958403,0.091593275,0.194477557,0.076259865,0.054061637,0.085845117,0.079803108,0.093017821,-
Bangladesh,  Audiovisual and related services,0.368693658,0.035641407,0.09031225,0.165388393,0.06370451,0.042337427,0.051361538,0.041766345,0.038856253,-
Bangladesh,"  Other other personal, cultural and recreational services",0.030444409,0.014034958,0.001200961,0.029164136,0.012555355,0.011674107,..,..,..,..
Barbados,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Barbados,"Architectural, engineering and other technical services",..,..,0.222896415,0.673015754,5.602104099,6.210767745,5.323892472,5.062295883,..,..
Barbados,Research and Development,..,..,..,..,..,..,..,..,..,..
Barbados,"Personal, cultural and recreational services",0.068927488,0.000879291,0.01644205,0.004365777,0.047542276,0.02683157,0.00738607,0.024600922,-,-
Barbados,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Barbados,"  Other other personal, cultural and recreational services",0.068927488,..,..,..,..,..,..,..,..,..
Belarus,"Advertising, market research and public opinion polling",..,0.28049688,0.294302118,..,1.556467921,1.662752466,..,..,..,..
Belarus,"Architectural, engineering and other technical services",..,0.921632606,0.868432479,..,0.808873093,0.962893377,..,..,..,..
Belarus,Research and Development,0.546703114,0.440780812,0.482462489,..,0.416692199,0.627054955,..,..,..,..
Belarus,"Personal, cultural and recreational services",0.120008001,0.143110653,0.115790997,0.204098634,0.238985232,0.298262095,0.422712213,0.339633461,0.378136167,0.588553646
Belarus,  Audiovisual and related services,..,0.091590818,0.067544748,..,..,..,..,..,..,..
Belarus,"  Other other personal, cultural and recreational services",0.120008001,0.051519835,0.048246249,0.204098634,0.238985232,0.298262095,..,..,..,..
Belgium,"Advertising, market research and public opinion polling",5.847967895,4.693838414,4.558940571,4.366268922,2.428647223,3.278976083,3.967704874,4.860499504,4.332823309,..
Belgium,"Architectural, engineering and other technical services",2.2673215,2.165298914,2.289434544,2.488077145,0.440078545,1.640285941,1.42496428,1.671699587,1.816991129,..
Belgium,Research and Development,2.730400832,2.91536963,3.071030139,3.087409892,2.53638374,3.156114843,4.90374274,3.877996256,3.912062688,..
Belgium,"Personal, cultural and recreational services",0.819879549,0.858571563,0.923301746,0.936985608,0.648247905,0.6286699,0.744648343,0.720983659,0.783286016,0.731508788
Belgium,  Audiovisual and related services,0.660458526,0.72648363,0.792666726,0.789262651,0.436426054,0.574419199,0.635283143,0.592391383,0.628958288,0.58663257
Belgium,"  Other other personal, cultural and recreational services",0.159420202,0.129729188,0.132849654,0.147723251,0.21182138,0.055846414,0.10775706,0.128592528,0.15432749,..
Belize,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Belize,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Belize,Research and Development,..,..,..,..,..,..,..,..,..,..
Belize,"Personal, cultural and recreational services",0,0,0,0,0,0,0,0,0,0
Belize,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Belize,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Benin,"Advertising, market research and public opinion polling",0.02495372,0.145626565,0.454158388,0.117013484,0.04576568,0.03792722,0.017199551,0.074111853,..,..
Benin,"Architectural, engineering and other technical services",..,0.264353956,0.018579207,0.470357352,0.232476388,0.299107848,0.299181664,..,..,..
Benin,Research and Development,0.136955298,..,..,..,..,0.723777781,0.017199551,..,..,..
Benin,"Personal, cultural and recreational services",-,0.006029125,-,-,0.01857158,0.005746549,-,0.005312678,-,-
Benin,  Audiovisual and related services,-,0.006029125,-,-,0.01857158,-,-,0.005312678,-,-
Benin,"  Other other personal, cultural and recreational services",..,..,..,..,..,0.005746549,..,..,..,..
Bermuda,"Advertising, market research and public opinion polling",..,..,..,1.086676591,1.480476369,1.506838045,..,..,..,..
Bermuda,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bermuda,Research and Development,..,..,..,..,0.354975103,0.402498529,0.504475196,0.405450054,0.530838815,..
Bermuda,"Personal, cultural and recreational services",..,..,..,-,0.145988054,0.062653073,0.11675062,0.126712068,0.127107145,-
Bermuda,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Bermuda,"  Other other personal, cultural and recreational services",..,..,..,..,0.145988054,0.062653073,..,..,..,..
Bhutan,"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Bhutan,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bhutan,Research and Development,..,..,..,..,..,..,..,..,..,..
Bhutan,"Personal, cultural and recreational services",-,-,-,-,-,-,-,-,-,-
Bhutan,  Audiovisual and related services,..,..,..,..,..,..,..,..,..,..
Bhutan,"  Other other personal, cultural and recreational services",..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),"Advertising, market research and public opinion polling",..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),Research and Development,..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),"Personal, cultural and recreational services",0.326497408,0.303061595,0.278627891,0.255758769,0.265526598,0.300192123,0.29486508,0.310031258,0.188917191,-
Bolivia (Plurinational State of),  Audiovisual and related services,0.260538336,0.24542706,0.22052927,0.205823915,0.201648027,0.240153698,0.244427632,0.242166434,0.175057437,-
Bolivia (Plurinational State of),"  Other other personal, cultural and recreational services",0.065959072,0.057634535,0.05809862,0.049934854,0.063878571,0.060038425,0.050437448,0.067864824,0.013859754,..
"Bonaire, Sint Eustatius and Saba","Advertising, market research and public opinion polling",_,_,_,_,_,_,_,_,..,..
"Bonaire, Sint Eustatius and Saba","Architectural, engineering and other technical services",_,_,_,_,_,_,_,_,..,..
"Bonaire, Sint Eustatius and Saba",Research and Development,_,_,_,_,_,_,_,_,..,..
"Bonaire, Sint Eustatius and Saba","Personal, cultural and recreational services",_,_,_,_,_,_,_,_,..,..
"Bonaire, Sint Eustatius and Saba",  Audiovisual and related services,_,_,_,_,_,_,_,_,..,..
"Bonaire, Sint Eustatius and Saba","  Other other personal, cultural and recreational services",_,_,_,_,_,_,_,_,..,..
Bosnia and Herzegovina,"Advertising, market research and public opinion polling",..,..,..,0.332268763,0.299932769,0.29947138,..,..,..,..
Bosnia and Herzegovina,"Architectural, engineering and other technical services",..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,Research and Development,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,"Personal, cultural and recreational services",-,-,-,-,-,-,0.077724993,0.045780267,0.080328955,0.055756732
