Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,02/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,-13.60487852,0.119671754,0.780566095,1.716035322,3.602315292,2.774743282,-1.0455694,-1.058491537,5.998132318,4.680938941,2.169265594,13.41821743,18.28257949,-5.288191223,3.740326911,7.361126807,33.56601753,5.186228818,2.902019672,6.852999957,4.011545582,0.895243944,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977585045,1.12105291,0.605800046,2.713491023,5.023460981,11.45594518,4.548434454,0.20848767,0.754573831,1.464418972,0.294520302,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.91763485,9.532612487,15.3037739,15.24072142,22.68184693,2.948674941,2.273789129,4.403927069,-0.132148006,0.842252953,0.307047106,2.41149667,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.536955148,-0.041785058,0.009649405,0.882923674,0.724148512,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908082645,3.618885323,2.302488054,0.647327968,3.270120254,2.506811077,3.955126478,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621115881,3.772741435,2.653080006,2.061147254,4.025939978,4.561411766,8.395432465,5.558366169,6.575891621,11.67373948,5.257501946,0.786376222,2.583954458,2.529460858,2.275383848,1.723436709,2.935964329,2.363067294,1.851782828,2.567144368,2.42488984,
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041086957,0.108101523,0.070318665,0.105205324,0.708145893,2.488603004,1.334908888,3.657787145,0.932726195,0.775405865,1.693132683,0.963663961,0.707732068,1.014977462,0.966328359,3.991616143,3.600682329,3.688518931,2.375177512,6.480801966,2.228206919,2.973864618,2.362529221,2.926769593,2.612805022,2.332138504,2.390949285,
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.31867267,5.641194645,,,,,,,1.467351431,-0.032938076,,-1.01994058,,,-1.725891577,1.739999472,1.985854495,2.437006421,4.373723962,5.052367303,4.173881521,3.058098818,3.010193557,1.643273096,2.645973573,3.394392625,2.585035668,1.82710344,2.56171167,8.007221191,3.553134335,7.016590596,2.730269301,-1.103093902,10.53992916,11.39006986,8.939114238,10.87711035,12.39699924,8.151487411,7.003437278,6.527143439,12.75208061,5.840631985,8.485494936,3.429616319,1.844031756,1.395905843,6.388491065,
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720502,0.137152332,0.308131446,18.54303395,0.897674182,-1.628465661,10.46901725,2.807392192,-1.218450076,3.876992081,-4.645588668,0.859842473,0.985053866,,,,,,
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.943356398,0.173417333,1.288549492,0.364221273,2.106082734,2.561527848,-0.296487826,-0.037181214,0.305995851,0.791614566,1.038234234,1.289002778,0.556600522,0.129093153,0.113461364,0.185967716,0.252631225,0.881205288,-0.219679089,-0.517389935,0.558798938,0.973186046,1.649570505,2.158796554,2.176804369,5.847909232,6.409384035,9.218144108,11.17146109,12.1966294,8.768250434,8.668583324,8.557893431,2.442354474,0.74577261,-2.498880031,2.451682367,2.791837867,3.072601838,2.43967815,3.165443541,3.584442125,3.913550138,5.706622138,1.989824849,1.680727879,0.988080149,1.899493276,0.633154081,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.925400918,0.912518967,0.785629975,1.489296207,1.14889278,1.052466706,1.018483208,1.040464686,0.998999547,1.075256922,0.813106376,0.956135069,1.03307874,0.791423642,0.762592174,0.64635416,0.128665462,0.397505323,0.848675006,0.26574541,0.214091608,0.182961218,0.514479246,0.295112882,0.550427157,0.631608733,1.475965411,2.224865074,3.694817064,4.735492291,5.034128682,4.152126833,3.2653199,1.813120631,2.716381065,1.733900669,1.749493337,3.190894842,2.990663287,1.888455825,3.729955689,3.915113195,3.755022099,3.041525062,3.571425093,3.592144788,4.136037068,3.354365076,4.182889946,
Barbados,BRB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.765366007,5.702357024,1.582890945,0.989703713,1.627828761,0.798075725,0.325434268,0.8870587,0.469977136,0.347448767,0.004367075,0.404730105,0.589077321,0.490089574,0.749564888,0.490031367,0.553546136,0.368689341,0.740683787,0.459390597,0.601962953,0.519458732,0.551438672,0.580552327,0.547929135,0.576013585,0.621496076,0.595190349,0.548965169,1.778707422,-0.344302645,6.113498983,8.114958382,9.664181792,9.656115281,10.25953344,14.76464043,8.322461422,9.482953898,-0.172828755,11.91013326,1.470514565,4.744180396,5.735191156,3.791953353,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,47.76075082,-8.885033173,-1.395768465,0.066960368,0.193744821,0.072755017,-2.170672393,-0.189874752,0.235372803,0.012483148,-0.397052039,-0.254453867,0.145629281,0.094155024,0.021149904,0.10415447,-0.256508879,-0.00254133,0.017095811,0.334955862,0.198832471,0.135074277,0.167322084,0.194850769,0.144103572,12.31005697,12.77659781,13.501925,14.15031268,16.25801454,9.158360447,1.08362189,3.930498376,1.888281555,1.438021789,1.836754981,0.765769354,2.103544653,1.543688044,3.033690978,3.507036879,3.730949184,4.540545087,4.28679106,3.321314483,1.324701748,-1.320522338,3.858208317,3.770058954,
