country_iso,year,foreign_investment
IRQ,1972,-0.002187733
ISL,1972,0.332970848
ISR,1972,1.2991081979999999
ITA,1972,0.46343174299999995
JAM,1972,5.199864498999999
JOR,1972,0.071014126
JPN,1972,0.053139424000000005
KEN,1972,0.298963712
KHM,1972,-0.0019780460000000002
KOR,1972,4.574708672
KWT,1972,0.000224658
LAC,1972,0.388538961
LCN,1972,0.44448953
LDC,1972,1.295191555
LIC,1972,1.731380638
LKA,1972,0.011746573
LMC,1972,0.596496359
LMY,1972,0.553823145
MAR,1972,0.256202185
MDG,1972,0.8944605959999999
MEA,1972,0.45920919299999996
MEX,1972,0.39465708
MIC,1972,0.49795029799999996
MLI,1972,0.698700966
MLT,1972,1.509631839
MNA,1972,0.369571506
MRT,1972,0.796198183
MWI,1972,2.487299539
MYS,1972,2.260438819
NAC,1972,0.242845237
NER,1972,41.06197079
NGA,1972,2.484843267
NIC,1972,1.135276235
NLD,1972,1.3792742519999999
NOR,1972,0.6970603870000001
NPL,1972,0.002929405
NZL,1972,1.32419375
OED,1972,0.40334473600000004
OMN,1972,0.466120739
OSS,1972,0.9521518729999999
PAK,1972,0.18261681800000001
PER,1972,0.656331338
PHL,1972,0.051138335
PNG,1972,9.999976293
PRE,1972,1.784221581
PRT,1972,0.64951721
PRY,1972,0.45264244200000003
PSS,1972,2.376439019
PST,1972,0.41190442
QAT,1972,0.001959785
RWA,1972,0.202874456
SAS,1972,0.038337214
SAU,1972,0.349514631
SDN,1972,0.021165857000000003
SEN,1972,0.93777535
SGP,1972,5.9184332070000005
SLB,1972,-0.024626471
SLE,1972,0.816535111
SLV,1972,0.522267591
SOM,1972,1.079285676
SSA,1972,1.46245638
SSF,1972,1.4638285219999998
SST,1972,4.410714241
SUR,1972,0.9648982209999999
SWE,1972,0.134503922
SWZ,1972,0.45658599299999997
SYC,1972,4.405268948
SYR,1972,0.000326831
TCD,1972,-0.017081533
TEC,1972,0.210463507
TGO,1972,0.357485834
THA,1972,0.8389770790000001
TLA,1972,0.40097260700000004
TMN,1972,0.369571506
TSA,1972,0.038337214
TSS,1972,1.4638285219999998
TTO,1972,7.947342301
TUN,1972,1.4748758780000002
TUR,1972,0.210463507
UGA,1972,-0.797802817
UMC,1972,0.44011527
URY,1972,-0.052068632000000004
USA,1972,0.099287786
VEN,1972,-2.6899938210000003
WLD,1972,0.434326705
ZAF,1972,0.5360111870000001
ZMB,1972,1.517757009
ZWE,1972,0.877235765
AFG,1973,0.015576923999999999
ARB,1973,-0.7939456220000001
ARG,1973,0.19079247800000002
AUS,1973,0.21186897600000001
AUT,1973,0.5446635639999999
BDI,1973,0.144575222
BEL,1973,1.505954653
BEN,1973,0.693926704
BFA,1973,0.652070347
BGD,1973,0.02893631
BHS,1973,15.24072142
BOL,1973,0.36422127299999996
BRA,1973,1.489296207
BRN,1973,0.06696036799999999
CAF,1973,-0.073750919
CAN,1973,2.4250125
CHL,1973,-0.028509892999999998
CIV,1973,2.033151342
CMR,1973,0.176263815
COD,1973,0.22515198
COG,1973,12.60209537
COL,1973,0.231127905
CRI,1973,2.465799
CSS,1973,5.81516624
DEU,1973,0.527720741
DNK,1973,0.689865528
DOM,1973,1.471340839
DZA,1973,0.585190822
EAR,1973,0.44123524700000005
EAS,1973,0.338965616
ECA,1973,0.307101648
ECS,1973,0.671448499
ECU,1973,1.343866522
EGY,1973,0.006931699
EMU,1973,0.5763083379999999
ESP,1973,0.49593380600000003
EUU,1973,0.6748545420000001
FCS,1973,0.902211625
FIN,1973,0.066761286
FJI,1973,3.685763025
FRA,1973,0.425624843
GAB,1973,2.199837375
GBR,1973,1.414127456
GHA,1973,0.584061697
GMB,1973,1.8619999999999999
GRC,1973,0.277431676
GTM,1973,1.3545071869999998
GUY,1973,2.670595533
HIC,1973,0.432447149
HKG,1973,3.3782143639999997
HND,1973,0.7232877109999999
