country_iso,year,secure_internet_servers
PRK,2010,0.0
PRT,2010,162.393243230462
PRY,2010,6.0819267543957904
PSE,2010,3.69767688167513
PSS,2010,15.426574270561199
PST,2010,1151.91660186322
PYF,2010,63.8006417593965
QAT,2010,61.95029216296479
ROU,2010,39.018374740472204
RUS,2010,17.0949206811431
RWA,2010,0.896473452731644
SAS,2010,1.41384549074459
SAU,2010,13.0919355463956
SDN,2010,0.173267584060768
SEN,2010,1.02538635769199
SGP,2010,531.641221163536
SLB,2010,1.89443811912606
SLE,2010,0.46760772201157397
SLV,2010,13.5837157122355
SMR,2010,960.645553812162
SOM,2010,0.0
SRB,2010,7.405948567607259
SSA,2010,3.67067476123572
SSF,2010,3.6773177257797904
SST,2010,99.6275448859472
STP,2010,0.0
SUR,2010,11.3393469670082
SVK,2010,136.883957274399
