country_iso,year,rural_population
GEO,2014,42.933
GEO,2015,42.552
GEO,2016,42.163
GEO,2017,41.769
GEO,2018,41.368
GHA,2013,47.252
GHA,2014,46.581
GHA,2015,45.914
GHA,2016,45.251
GHA,2017,44.593
GHA,2018,43.94
GIN,2013,65.455
GIN,2014,65.164
GIN,2015,64.859
GIN,2016,64.54
GIN,2017,64.207
GIN,2018,63.86
GMB,2013,42.18
GMB,2014,41.472
GMB,2015,40.772
GMB,2016,40.082
GMB,2017,39.401
GMB,2018,38.73
GNB,2013,58.69
GNB,2014,58.285
GNB,2015,57.877
GNB,2016,57.467
GNB,2017,57.055
GNB,2018,56.64
GNQ,2013,30.456
GNQ,2014,29.917
GNQ,2015,29.384
GNQ,2016,28.862
GNQ,2017,28.354
GNQ,2018,27.857
GRC,2013,22.645
GRC,2014,22.298
GRC,2015,21.954
GRC,2016,21.613
GRC,2017,21.276
GRC,2018,20.942
GRD,2013,64.104
GRD,2014,64.062
GRD,2015,64.003
GRD,2016,63.928
GRD,2017,63.836
GRD,2018,63.728
GRL,2013,14.449
GRL,2014,14.187
GRL,2015,13.929
GRL,2016,13.674
GRL,2017,13.426
GRL,2018,13.184
GTM,2013,50.689
GTM,2014,50.366
GTM,2015,50.029
GTM,2016,49.681
GTM,2017,49.32
GTM,2018,48.946
GUM,2013,5.636
GUM,2014,5.551
GUM,2015,5.466
GUM,2016,5.383
GUM,2017,5.301
GUM,2018,5.22
GUY,2013,73.6
GUY,2014,73.586
GUY,2015,73.559
GUY,2016,73.518
GUY,2017,73.462
GUY,2018,73.394
HND,2013,46.142
HND,2014,45.486
HND,2015,44.835
HND,2016,44.187
HND,2017,43.543
HND,2018,42.904
HRV,2013,44.294
HRV,2014,44.077
HRV,2015,43.845
HRV,2016,43.597
HRV,2017,43.333
HRV,2018,43.053
HTI,2013,49.54
HTI,2014,48.556
HTI,2015,47.573
HTI,2016,46.604
HTI,2017,45.654
HTI,2018,44.722
HUN,2013,30.047
HUN,2014,29.773
HUN,2015,29.5
HUN,2016,29.221
HUN,2017,28.938
HUN,2018,28.649
IDN,2013,48.045
IDN,2014,47.365
IDN,2015,46.687
IDN,2016,46.011
IDN,2017,45.341
IDN,2018,44.675
IMN,2013,47.904
IMN,2014,47.838
IMN,2015,47.755
IMN,2016,47.657
IMN,2017,47.542
IMN,2018,47.412
IND,2013,67.997
IND,2014,67.616
IND,2015,67.223
IND,2016,66.818
IND,2017,66.4
IND,2018,65.97
IRL,2013,37.859
IRL,2014,37.66
IRL,2015,37.462
IRL,2016,37.263
IRL,2017,37.053
IRL,2018,36.83
IRN,2013,27.705
IRN,2014,27.17
IRN,2015,26.642
IRN,2016,26.12
IRN,2017,25.606
IRN,2018,25.102
IRQ,2013,30.405
IRQ,2014,30.242
IRQ,2015,30.079
IRQ,2016,29.906
IRQ,2017,29.722
IRQ,2018,29.527
ISL,2013,6.367
ISL,2014,6.333
ISL,2015,6.3
ISL,2016,6.265
ISL,2017,6.227
ISL,2018,6.187
ISR,2013,7.969
ISR,2014,7.896
ISR,2015,7.821
ISR,2016,7.744
ISR,2017,7.664
ISR,2018,7.582
ITA,2013,31.021
ITA,2014,30.728
ITA,2015,30.435
ITA,2016,30.145
ITA,2017,29.856
ITA,2018,29.562
JAM,2013,45.65
JAM,2014,45.416
JAM,2015,45.167
JAM,2016,44.902
JAM,2017,44.622
JAM,2018,44.326
JOR,2013,10.875
JOR,2014,10
JOR,2015,9.744
JOR,2016,9.494
JOR,2017,9.253
JOR,2018,9.021
JPN,2013,8.774
JPN,2014,8.696
JPN,2015,8.619
JPN,2016,8.543
JPN,2017,8.465
JPN,2018,8.384
KAZ,2013,42.954
KAZ,2014,42.882
KAZ,2015,42.809
KAZ,2016,42.736
