country_iso,year,school_enrollment_tertiary
TEC,1973,29.91237068
TGO,1973,0.754230022
THA,1973,3.0613400939999997
TLA,1973,8.7290802
TMN,1973,6.344409943
TSA,1973,4.4196901319999995
TSS,1973,1.491009951
TTO,1973,2.610510111
TUN,1973,2.40309
TUR,1973,4.802420139
TZA,1973,0.238700002
UMC,1973,6.581980228
USA,1973,48.67536163
VEN,1973,12.47360039
WLD,1973,10.33360004
WSM,1973,1.61097002
ZAF,1973,4.403160095
ZWE,1973,1.6278799769999999
AFG,1974,1.022600055
ARB,1974,7.001060009
ARG,1974,22.74868965
AUS,1974,21.81735039
AUT,1974,15.99359035
BDI,1974,0.240559995
BEL,1974,20.50785065
BEN,1974,0.709710002
BFA,1974,0.08602
BGD,1974,3.3588600160000004
BGR,1974,18.03173065
BHR,1974,2.2393000130000003
BLZ,1974,0.895470023
BRB,1974,5.541649818
BWA,1974,0.462390006
CAF,1974,0.246360004
CEB,1974,13.34934044
CHE,1974,12.42973995
CHL,1974,13.65225029
CHN,1974,0.338420004
CIV,1974,1.262249947
CMR,1974,0.9221299890000001
COD,1974,0.937619984
COG,1974,2.047790051
COL,1974,6.246660232999999
CSS,1974,5.126100063
CUB,1974,7.05396986
CYP,1974,1.42482996
CZE,1974,9.176560402
DNK,1974,27.64678955
EAP,1974,1.658349991
EAR,1974,5.7507300379999995
EAS,1974,3.441910028
ECA,1974,31.50456047
ECS,1974,25.71002007
EGY,1974,10.70998955
EMU,1974,22.72892952
ESP,1974,15.39789963
ETH,1974,0.237560004
EUU,1974,19.72499084
FCS,1974,3.10593009
FIN,1974,15.70298004
FJI,1974,1.971220016
FRA,1974,22.23352051
GAB,1974,1.450289965
GBR,1974,16.72007942
GHA,1974,0.941950023
GRC,1974,14.83285046
GTM,1974,3.401129961
HIC,1974,28.13124084
HKG,1974,8.704360008
HND,1974,3.50744009
HPC,1974,1.691290021
HUN,1974,10.79321003
IBD,1974,7.123700142000001
IBT,1974,6.404759884
IDA,1974,2.720449924
IDB,1974,3.3538300989999996
IDN,1974,2.57543993
IDX,1974,2.4357800480000003
IRL,1974,11.57229042
IRN,1974,3.861269951
IRQ,1974,6.085330009
ISL,1974,12.94845009
ITA,1974,21.66208076
JAM,1974,5.945630073999999
JOR,1974,5.037909985
KEN,1974,1.0152399540000001
KOR,1974,7.359109879
KWT,1974,6.839930057999999
LAC,1974,9.676230431
LAO,1974,0.32359001
LBY,1974,4.815899849
LCN,1974,10.03806019
LDC,1974,1.854500055
LIC,1974,3.3720901010000004
LKA,1974,1.08841002
LMC,1974,6.040609837000001
LMY,1974,6.373939991
LSO,1974,0.5312200189999999
LTE,1974,6.880549908
LUX,1974,1.780439973
MAR,1974,1.791859984
MEA,1974,6.9541702270000005
MEX,1974,7.673560143
MIC,1974,6.585020065
MLI,1974,0.325780004
MLT,1974,7.256629944
MMR,1974,1.712200046
MNA,1974,6.8445901870000005
MNG,1974,19.11034012
MUS,1974,1.537660003
MWI,1974,0.460029989
NAC,1974,48.94052124
NER,1974,0.069200002
NIC,1974,4.700560093
NOR,1974,20.92946053
NZL,1974,25.21106911
OED,1974,26.3046608
OSS,1974,5.190609932
PAK,1974,2.097539902
PAN,1974,14.94643974
PER,1974,12.14960003
PHL,1974,17.24180031
POL,1974,14.51105976
PRE,1974,1.6381100419999999
PRT,1974,8.256489754
PRY,1974,5.349559783999999
PSS,1974,2.68772006
PST,1974,30.00778008
ROU,1974,7.760799885
RUS,1974,43.74090958
RWA,1974,0.186069995
SAS,1974,4.450389862
SAU,1974,2.462719917
SLE,1974,0.6145399810000001
SLV,1974,7.039090157
SSA,1974,1.565950036
SSF,1974,1.56566
SST,1974,4.9837298389999996
SWE,1974,22.67728996
SWZ,1974,1.322100043
SYR,1974,8.483469963
TCD,1974,0.174349993
TEA,1974,1.3568500280000002
TEC,1974,29.68940926
TGO,1974,0.7390800120000001
THA,1974,3.0762898919999997
TLA,1974,9.917309761
TMN,1974,6.765409946
TSA,1974,4.450389862
TSS,1974,1.56566
TTO,1974,2.644350052
TUN,1974,2.49864006
TUR,1974,5.030519962
TZA,1974,0.266930014
UGA,1974,0.6136599779999999
UMC,1974,6.993340015
URY,1974,12.30296993
USA,1974,49.04969025
VEN,1974,13.45380974
WLD,1974,10.65291023
ZMB,1974,1.1311700340000002
ZWE,1974,1.5062600369999999
AFG,1975,1.117319942
ARB,1975,7.550489902000001
ARG,1975,26.97598076
AUS,1975,23.28160095
AUT,1975,16.67403984
BDI,1975,0.246690005
BEL,1975,20.80525017
BEN,1975,0.6863200070000001
BFA,1975,0.101199999
BGR,1975,19.05385017
BHR,1975,2.2384300230000003
BLZ,1975,0.941709995
BWA,1975,0.707899988
CAF,1975,0.261530012
CEB,1975,13.93752956
CHE,1975,13.19721985
CHL,1975,13.79782009
CHN,1975,0.47586000000000006
CMR,1975,1.048050046
COD,1975,1.046149969
COG,1975,2.318020105
COL,1975,7.110620022000001
CSS,1975,5.399300097999999
CUB,1975,8.63724041
CZE,1975,10.16726017
DNK,1975,28.52527046
DOM,1975,8.924759865
EAP,1975,1.854640007
EAR,1975,6.016910076
EAS,1975,3.7362499239999996
ECA,1975,31.49060059
ECS,1975,26.29950905
ECU,1975,20.39109993
EGY,1975,12.13247013
EMU,1975,23.79667091
ESP,1975,16.83543015
EUU,1975,20.75933075
FCS,1975,3.236769915
FIN,1975,16.92126083
FJI,1975,2.586849928
FRA,1975,23.5865593
GAB,1975,2.127249956
GBR,1975,18.54512024
GHA,1975,0.990289986
GIN,1975,2.386610031
GRC,1975,16.68581009
GTM,1975,3.754729986
HIC,1975,29.52469063
HKG,1975,9.220899582000001
HND,1975,3.894170046
HPC,1975,1.783409953
HUN,1975,11.22154045
IBD,1975,7.4555001260000004
IBT,1975,6.6772999760000005
IDA,1975,2.755079985
IDB,1975,3.39944005
IDN,1975,2.577270031
IDX,1975,2.461910009
IRL,1975,13.7710104
IRN,1975,4.1105298999999995
IRQ,1975,7.138189793
ISL,1975,14.03573036
ISR,1975,23.57171059
ITA,1975,23.9639492
JOR,1975,5.573800087
KOR,1975,7.563099861
KWT,1975,6.978030205
LAC,1975,11.03872967
LAO,1975,0.298009992
LBN,1975,21.441289899999997
LBR,1975,1.7390899659999999
LBY,1975,5.774030209
LCN,1975,11.35336971
LDC,1975,1.82167995
LIC,1975,3.7441799639999997
LKA,1975,1.111089945
LMC,1975,5.977429867000001
LMY,1975,6.658750057000001
LSO,1975,0.485830009
LTE,1975,7.3134398460000005
LUX,1975,1.968029976
MAR,1975,2.231080055
MDG,1975,1.4215699430000002
MEA,1975,7.539850235
MEX,1975,9.02589035
MIC,1975,6.868889809
MLI,1975,0.418610007
MLT,1975,8.572039604
MMR,1975,1.732969999
MNA,1975,7.454840183
MNG,1975,20.61973953
MUS,1975,1.254209995
MWI,1975,0.46845001
NAC,1975,50.77862167
NER,1975,0.086680003
NGA,1975,0.740890026
NIC,1975,6.292250156000001
NLD,1975,23.49459076
NOR,1975,21.36064911
NZL,1975,24.40029907
OED,1975,27.71854019
OSS,1975,5.281569958
PAK,1975,2.0595500469999997
PAN,1975,15.59947014
PER,1975,12.74048996
PHL,1975,15.99129963
POL,1975,15.36118031
PRE,1975,1.70449996
PRT,1975,8.793410301
PRY,1975,6.790090084
PSS,1975,3.010400057
PST,1975,31.350809100000003
ROU,1975,8.072299957
RUS,1975,43.54341888
RWA,1975,0.247529998
SAS,1975,4.426559925
SAU,1975,3.1239399910000003
SLE,1975,0.6745700240000001
SLV,1975,7.418449879
SOM,1975,0.461849988
SSA,1975,1.62349999
SSF,1975,1.623190045
SST,1975,5.141640186
SWE,1975,22.88829994
SWZ,1975,2.234339952
SYR,1975,9.246649742
TCD,1975,0.116609998
TEA,1975,1.492720008
TEC,1975,29.75869942
TGO,1975,0.796119988
THA,1975,3.6282699110000003
TLA,1975,11.22679996
TMN,1975,7.381299973
TSA,1975,4.426559925
TSS,1975,1.623190045
TTO,1975,2.6900401119999997
TUN,1975,2.6631898880000002
TUR,1975,7.009689807999999
TZA,1975,0.233309999
UGA,1975,0.579879999
UMC,1975,7.562170029
URY,1975,15.09195995
USA,1975,51.09043121
VEN,1975,15.00728035
WLD,1975,11.13831997
WSM,1975,1.688249946
ZMB,1975,1.951900005
ZWE,1975,1.540959954
AFG,1976,1.267570019
ARB,1976,8.215459824
ARG,1976,27.07181931
AUS,1976,24.07530022
AUT,1976,18.544979100000003
BDI,1976,0.294719994
BEN,1976,0.743160009
BFA,1976,0.201790005
BGD,1976,2.798229933
BGR,1976,19.43024063
BHR,1976,2.194890022
BLR,1976,37.26008987
BWA,1976,0.756290019
CAF,1976,0.40928000200000003
CAN,1976,48.0385704
CEB,1976,14.71592999
CHE,1976,13.88918972
