country_iso,year,electrification
ECA,1993,100.0
ECS,1993,100.0
EGY,1993,94.97776794
EMU,1993,100.0
ESP,1993,100.0
EST,1993,100.0
EUU,1993,100.0
FIN,1993,100.0
FRA,1993,100.0
FRO,1993,100.0
GBR,1993,100.0
GHA,1993,30.6
GIB,1993,100.0
GMB,1993,17.7
GRC,1993,100.0
GRL,1993,100.0
GUY,1993,72.376631
HIC,1993,99.84616677
HKG,1993,100.0
HND,1993,61.100156000000005
HRV,1993,100.0
HUN,1993,100.0
IBD,1993,78.01206748
IBT,1993,70.98319001
IDN,1993,55.43
IMN,1993,100.0
IND,1993,50.9
IRL,1993,100.0
ISL,1993,100.0
ISR,1993,100.0
ITA,1993,100.0
JAM,1993,78.39736938
JOR,1993,97.69921112
JPN,1993,100.0
KEN,1993,10.9
KWT,1993,100.0
LAC,1993,88.54367399
LAO,1993,31.0
LCN,1993,88.78037202
LIE,1993,100.0
LMC,1993,50.35061846
LMY,1993,70.50704587
LTE,1993,93.98791784
LTU,1993,100.0
LUX,1993,100.0
LVA,1993,100.0
MAR,1993,54.80387878
MCO,1993,100.0
MDA,1993,100.0
MDG,1993,10.82273483
MEX,1993,95.33148956
MIC,1993,72.46280340000001
MKD,1993,100.0
MLT,1993,100.0
MNE,1993,100.0
MWI,1993,2.1268150809999997
NAC,1993,100.0
NAM,1993,27.0
NER,1993,4.075741291
NGA,1993,36.22980881
NIC,1993,72.064174
NLD,1993,100.0
NOR,1993,100.0
NZL,1993,100.0
OED,1993,99.51757778
PAN,1993,74.28915405
PER,1993,64.51383209
PHL,1993,65.4
POL,1993,100.0
PRT,1993,100.0
PST,1993,100.0
PYF,1993,100.0
QAT,1993,100.0
ROU,1993,100.0
RUS,1993,100.0
RWA,1993,0.01
SAS,1993,47.03677689
SDN,1993,27.83680534
SEN,1993,26.0
SGP,1993,100.0
SLV,1993,75.90480042
SMR,1993,100.0
SRB,1993,100.0
SVK,1993,100.0
SVN,1993,100.0
SWE,1993,100.0
TCA,1993,91.52250671
TEA,1993,87.56045708
TEC,1993,100.0
TLA,1993,88.76191702
TSA,1993,47.03677689
TZA,1993,4.246774197
UGA,1993,3.1968479160000003
UKR,1993,100.0
UMC,1993,93.9948579
URY,1993,97.48196411
USA,1993,100.0
VCT,1993,70.36994171
VEN,1993,98.28154755
VIR,1993,100.0
WLD,1993,76.65689078
WSM,1993,81.55081940000001
XKX,1993,100.0
YEM,1993,39.47787476
ZMB,1993,14.25382423
ZWE,1993,31.20397758
ABW,1994,100.0
ALB,1994,100.0
AND,1994,100.0
ARE,1994,100.0
AUS,1994,100.0
AUT,1994,100.0
BEL,1994,100.0
BFA,1994,5.260829926
BGD,1994,17.8
BGR,1994,100.0
BHS,1994,100.0
BIH,1994,100.0
BLR,1994,100.0
BLZ,1994,72.52520752
BMU,1994,100.0
BOL,1994,64.1
BRA,1994,91.54168701
BRN,1994,100.0
BWA,1994,14.70495605
CAN,1994,100.0
CEB,1994,100.0
CHE,1994,100.0
CHL,1994,95.36598969
CHN,1994,94.57279205
CIV,1994,36.5
CMR,1994,34.94918823
COL,1994,91.87721252
CUW,1994,100.0
CYM,1994,100.0
CYP,1994,100.0
CZE,1994,100.0
DEU,1994,100.0
DNK,1994,100.0
DOM,1994,83.45162201
EAP,1994,88.88149685
EAR,1994,55.10007727
EAS,1994,89.96021558
ECA,1994,100.0
ECS,1994,100.0
EGY,1994,95.27745819
EMU,1994,100.0
ESP,1994,100.0
EST,1994,100.0
EUU,1994,100.0
FIN,1994,100.0
FRA,1994,100.0
FRO,1994,100.0
GBR,1994,100.0
GHA,1994,32.10798264
GIB,1994,100.0
GMB,1994,18.70881844
GRC,1994,100.0
GRL,1994,100.0
GUY,1994,70.7562561
HIC,1994,99.85060142
HKG,1994,100.0
HND,1994,64.733947
HRV,1994,100.0
HUN,1994,100.0
IBD,1994,78.38260132
IBT,1994,71.32509345
IDN,1994,62.8
IMN,1994,100.0
IND,1994,49.81513596
IRL,1994,100.0
ISL,1994,100.0
ISR,1994,100.0
ITA,1994,100.0
JAM,1994,79.26422119
JOR,1994,97.83029175
JPN,1994,100.0
KEN,1994,2.282847166
KWT,1994,100.0
LAC,1994,89.42294454
LAO,1994,26.13661575
LCN,1994,89.62767338
LIE,1994,100.0
LMC,1994,50.98728701
LMY,1994,70.85859782
LTE,1994,94.35912418
LTU,1994,100.0
LUX,1994,100.0
LVA,1994,100.0
MAC,1994,100.0
MAR,1994,56.93638992
MCO,1994,100.0
MDA,1994,100.0
MDG,1994,11.20742416
MEX,1994,95.238294
MIC,1994,72.81984270000001
MKD,1994,100.0
MLT,1994,100.0
MNE,1994,100.0
MWI,1994,2.511838913
NAC,1994,100.0
NAM,1994,29.01897812
NER,1994,4.6107802389999994
NGA,1994,37.15209579
NIC,1994,69.28026581
NLD,1994,100.0
NOR,1994,100.0
NZL,1994,100.0
OED,1994,99.50805952
PAN,1994,75.22231293
PER,1994,65.82818604
PHL,1994,68.13821411
POL,1994,100.0
PRT,1994,100.0
PST,1994,100.0
PYF,1994,100.0
QAT,1994,100.0
ROU,1994,100.0
RUS,1994,100.0
RWA,1994,0.01
SAS,1994,46.40478209
SDN,1994,28.33135986
SEN,1994,27.31773949
SGP,1994,100.0
SLV,1994,76.87483978
SMR,1994,100.0
SRB,1994,100.0
SVK,1994,100.0
SVN,1994,100.0
SWE,1994,100.0
SYC,1994,90.0
TCA,1994,91.91538239
