country_iso,year,gdp_per_capta_usd
PAN,2014,12796.07004
PAN,2015,13630.30797
PAN,2016,14356.32405
PAN,2017,15166.12443
PAN,2018,15575.07255
PER,2013,6756.75277
PER,2014,6679.34195
PER,2015,6227.58672
PER,2016,6205.3709
PER,2017,6700.81138
PER,2018,6947.25663
PHL,2013,2749.38664
PHL,2014,2831.31667
PHL,2015,2867.15199
PHL,2016,2941.21204
PHL,2017,2981.93415
PHL,2018,3102.71336
PLW,2013,12799.36953
PLW,2014,13938.22194
PLW,2015,16593.48995
PLW,2016,17150.04231
PLW,2017,16274.90454
PLW,2018,17317.87262
PNG,2013,2729.87555
PNG,2014,2920.77483
PNG,2015,2679.32671
PNG,2016,2509.62901
PNG,2017,2640.15357
PNG,2018,2722.60468
POL,2013,13781.06261
POL,2014,14347.91458
POL,2015,12572.32185
POL,2016,12431.57542
POL,2017,13861.05156
POL,2018,15424.04603
PRI,2013,28513.16574
PRI,2014,28981.45733
PRI,2015,29764.05389
PRI,2016,30628.75478
PRI,2017,31353.43418
PRI,2018,31651.34815
PRT,2013,21618.73534
PRT,2014,22077.53613
PRT,2015,19252.63495
PRT,2016,19977.39849
PRT,2017,21291.43099
PRT,2018,23145.73496
PRY,2013,5926.83286
PRY,2014,6102.94323
PRY,2015,5406.70386
PRY,2016,5319.41022
PRY,2017,5680.58077
PRY,2018,5871.46706
PSE,2013,3060.31239
PSE,2014,3046.8218
PSE,2015,2967.85175
PSE,2016,3074.29115
PSE,2017,3254.48589
PSE,2018,3198.86664
QAT,2013,85050.91097
QAT,2014,83858.52838
QAT,2015,63039.01655
QAT,2016,57163.06099
QAT,2017,61264.39648
QAT,2018,69026.4688
ROU,2013,9555.24422
ROU,2014,10026.97358
ROU,2015,8977.49854
ROU,2016,9567.09778
ROU,2017,10792.95628
ROU,2018,12301.1864
RUS,2013,16007.08999
RUS,2014,14100.7291
RUS,2015,9313.78754
RUS,2016,8745.37512
RUS,2017,10750.58712
RUS,2018,11288.87244
RWA,2013,704.98016
RWA,2014,723.28184
RWA,2015,728.08176
RWA,2016,726.35305
RWA,2017,762.49916
RWA,2018,772.96784
SAU,2013,24844.74437
SAU,2014,24463.90316
SAU,2015,20627.93278
SAU,2016,19879.29753
SAU,2017,20803.74257
SAU,2018,23219.13048
SDN,2013,1943.91646
SDN,2014,2163.1559
SDN,2015,2486.74566
SDN,2016,2398.10188
SDN,2017,3015.02443
SDN,2018,977.27364
SEN,2013,1375.67875
SEN,2014,1394.79474
SEN,2015,1218.76425
SEN,2016,1269.04041
SEN,2017,1367.21895
SEN,2018,1521.95355
SGP,2013,56967.42579
SGP,2014,57562.53079
SGP,2015,55646.61875
SGP,2016,56724.17039
SGP,2017,60297.79378
SGP,2018,64581.94402
SLB,2013,1977.45141
SLB,2014,1996.78118
SLB,2015,1914.46793
SLB,2016,1990.0315
SLB,2017,2077.12604
SLB,2018,2162.6518
SLE,2013,716.8353
SLE,2014,714.70071
SLE,2015,588.22845
SLE,2016,501.41571
SLE,2017,499.38071
SLE,2018,522.85813
SLV,2013,3509.53149
SLV,2014,3589.0406
SLV,2015,3705.57795
SLV,2016,3800.12218
SLV,2017,3902.23762
SLV,2018,4058.24465
SMR,2013,57302.688
SMR,2014,54282.8098
SMR,2015,45774.58789
SMR,2016,46692.35109
SMR,2017,48494.55141
SOM,2013,257.82875
SOM,2014,248.84495
SOM,2015,293.46542
SOM,2016,295.93365
SOM,2017,309.06606
SOM,2018,314.56236
SRB,2013,6755.07351
SRB,2014,6600.05665
SRB,2015,5585.11781
SRB,2016,5756.38119
SRB,2017,6284.19267
SRB,2018,7233.99587
SSD,2013,1280.3072
SSD,2014,1258.37813
SSD,2015,1154.80095
SSD,2016,283.4878
STP,2013,1577.02233
STP,2014,1782.79776
STP,2015,1595.86142
STP,2016,1710.13395
STP,2017,1811.00963
STP,2018,2001.1409
SUR,2013,9402.23314
SUR,2014,9472.0076
SUR,2015,8561.97418
SUR,2016,5606.71208
SUR,2017,5379.11941
SUR,2018,5950.21395
SVK,2013,18191.61279
SVK,2014,18629.77966
SVK,2015,16182.30372
SVK,2016,16544.22781
SVK,2017,17579.2594
SVK,2018,19546.9019
SVN,2013,23357.9392
SVN,2014,24194.97435
SVN,2015,20887.51964
SVN,2016,21617.57985
SVN,2017,23449.57452
SVN,2018,26234.0229
SWE,2013,60347.68749
SWE,2014,59241.60638
SWE,2015,50832.55271
SWE,2016,51617.54035
SWE,2017,53253.47664
SWE,2018,54111.97217
SWZ,2013,4196.30973
SWZ,2014,3997.45194
SWZ,2015,3641.40858
SWZ,2016,3426.8266
SWZ,2017,3941.90046
SWZ,2018,4139.96195
SYC,2013,14765.67398
SYC,2014,14700.33434
SYC,2015,14745.34146
SYC,2016,15077.83902
SYC,2017,15683.6565
SYC,2018,16433.93529
TCA,2013,21328.97901
TCA,2014,23296.33691
TCA,2015,24832.59637
TCA,2016,25995.17246
TCA,2017,25933.60744
TCA,2018,27142.2278
TCD,2013,979.53396
