country_iso,year,feature_films_produced
POL,2012,47.0
POL,2013,31.0
POL,2014,32.0
POL,2015,42.0
POL,2016,50.0
POL,2017,52.0
PRT,2011,30.0
PRT,2012,15.0
PRT,2013,13.0
PRT,2014,12.0
PRT,2015,31.0
PRT,2016,28.0
PRT,2017,38.0
SVK,2011,12.0
SVK,2012,21.0
SVK,2013,22.0
SVK,2014,27.0
SVK,2015,26.0
SVK,2016,23.0
SVK,2017,27.0
ESP,2011,199.0
ESP,2012,182.0
ESP,2013,231.0
ESP,2014,216.0
ESP,2015,255.0
ESP,2016,254.0
ESP,2017,241.0
SWE,2011,43.0
SWE,2012,51.0
SWE,2013,61.0
SWE,2014,56.0
SWE,2015,50.0
SWE,2016,54.0
SWE,2017,68.0
CHE,2011,84.0
CHE,2012,93.0
CHE,2013,103.0
CHE,2014,110.0
CHE,2015,102.0
CHE,2016,109.0
CHE,2017,118.0
TUR,2011,70.0
TUR,2012,61.0
TUR,2013,85.0
TUR,2014,109.0
TUR,2015,137.0
TUR,2016,135.0
TUR,2017,148.0
GBR,2011,299.0
GBR,2012,326.0
GBR,2013,241.0
GBR,2014,339.0
GBR,2015,298.0
GBR,2016,317.0
GBR,2017,285.0
USA,2011,819.0
USA,2012,738.0
USA,2013,738.0
USA,2014,649.0
USA,2015,663.0
USA,2016,656.0
USA,2017,660.0
ALB,2014,3.0
ALB,2015,7.0
DZA,2016,21.0
DZA,2017,12.0
AGO,2016,6.0
AGO,2017,4.0
ARG,2011,100.0
ARG,2012,141.0
ARG,2013,168.0
ARG,2014,172.0
ARG,2015,182.0
ARG,2016,199.0
ARG,2017,220.0
ARM,2011,5.0
ARM,2012,24.0
ARM,2013,28.0
ARM,2014,36.0
ARM,2015,37.0
ARM,2016,37.0
ARM,2017,28.0
AZE,2011,63.0
AZE,2012,69.0
AZE,2013,69.0
AZE,2014,64.0
AZE,2015,53.0
AZE,2016,59.0
AZE,2017,53.0
BGD,2016,23.0
BGD,2017,31.0
BLR,2011,1.0
BOL,2014,1.0
BOL,2015,6.0
BOL,2016,20.0
BOL,2017,6.0
BIH,2011,7.0
BIH,2012,2.0
BIH,2013,11.0
BIH,2014,24.0
BIH,2015,14.0
BIH,2016,15.0
BIH,2017,21.0
BRA,2011,99.0
BRA,2012,83.0
BRA,2013,129.0
BRA,2014,114.0
BRA,2015,129.0
BRA,2016,142.0
BRA,2017,160.0
BGR,2011,15.0
BGR,2012,19.0
BGR,2013,15.0
BGR,2014,13.0
BGR,2015,25.0
BGR,2016,29.0
BGR,2017,24.0
BFA,2012,18.0
BFA,2013,16.0
BFA,2014,24.0
BFA,2015,5.0
KHM,2011,13.0
KHM,2014,22.0
KHM,2015,32.0
KHM,2016,38.0
KHM,2017,34.0
CHL,2011,23.0
CHL,2012,27.0
CHL,2013,31.0
CHL,2014,48.0
CHL,2015,38.0
CHL,2016,44.0
CHL,2017,49.0
CHN,2011,584.0
CHN,2012,745.0
CHN,2013,638.0
CHN,2014,618.0
CHN,2015,686.0
CHN,2016,853.0
CHN,2017,874.0
COL,2011,18.0
COL,2012,29.0
COL,2013,26.0
COL,2014,41.0
COL,2015,56.0
COL,2016,47.0
COL,2017,49.0
CRI,2011,3.0
CRI,2012,3.0
CRI,2013,2.0
CRI,2014,13.0
CRI,2015,14.0
CRI,2016,2.0
CRI,2017,13.0
HRV,2011,9.0
HRV,2012,22.0
HRV,2013,26.0
HRV,2014,16.0
HRV,2015,14.0
HRV,2016,4.0
HRV,2017,6.0
CUB,2011,10.0
CYP,2011,3.0
CYP,2012,2.0
CYP,2013,2.0
CYP,2014,2.0
CYP,2015,4.0
CYP,2016,3.0
CYP,2017,6.0
DOM,2014,20.0
DOM,2015,20.0
DOM,2016,20.0
DOM,2017,25.0
ECU,2014,27.0
ECU,2015,23.0
EGY,2011,28.0
EGY,2012,25.0
EGY,2013,33.0
EGY,2014,42.0
EGY,2015,34.0
EGY,2016,38.0
EST,2011,13.0
EST,2012,21.0
EST,2013,18.0
EST,2014,19.0
EST,2015,25.0
EST,2016,20.0
EST,2017,18.0
GAB,2011,10.0
GAB,2012,10.0
GAB,2013,9.0
GEO,2011,14.0
GEO,2012,6.0
GEO,2013,9.0
GEO,2014,18.0
GEO,2015,16.0
GEO,2016,6.0
GEO,2017,19.0
GUY,2011,11.0
HND,2012,2.0
HND,2015,5.0
HND,2016,6.0
