country_iso,year,mortality_rate
GMB,2013,43.9
GMB,2014,42.9
GMB,2015,41.9
GMB,2016,40.9
GMB,2017,40
GMB,2018,39
GNB,2013,63.8
GNB,2014,61.6
GNB,2015,59.5
GNB,2016,57.5
GNB,2017,55.7
GNB,2018,54
GNQ,2013,72.4
GNQ,2014,70.4
GNQ,2015,68.3
GNQ,2016,66.2
GNQ,2017,64.5
GNQ,2018,62.6
GRC,2013,3.5
GRC,2014,3.6
GRC,2015,3.8
GRC,2016,3.8
GRC,2017,3.7
GRC,2018,3.6
GRD,2013,13.1
GRD,2014,13.3
GRD,2015,13.5
GRD,2016,13.7
GRD,2017,13.8
GRD,2018,13.7
GTM,2013,25.9
GTM,2014,25.1
GTM,2015,24.3
GTM,2016,23.5
GTM,2017,22.8
GTM,2018,22.1
GUY,2013,28.8
GUY,2014,28.1
GUY,2015,27.4
GUY,2016,26.6
GUY,2017,25.9
GUY,2018,25.1
HND,2013,17.9
HND,2014,17.3
HND,2015,16.7
HND,2016,16.1
HND,2017,15.6
HND,2018,15.1
HRV,2013,4.3
HRV,2014,4.2
HRV,2015,4.2
HRV,2016,4.1
HRV,2017,4
HRV,2018,4
HTI,2013,55.7
HTI,2014,54.5
HTI,2015,53.3
HTI,2016,52.1
HTI,2017,50.8
HTI,2018,49.5
HUN,2013,4.7
HUN,2014,4.5
HUN,2015,4.3
HUN,2016,4.1
HUN,2017,3.8
HUN,2018,3.6
IDN,2013,25.3
IDN,2014,24.3
IDN,2015,23.5
IDN,2016,22.6
IDN,2017,21.9
IDN,2018,21.1
IND,2013,38.9
IND,2014,36.9
IND,2015,35
IND,2016,33.2
IND,2017,31.5
IND,2018,29.9
IRL,2013,3.3
IRL,2014,3.3
IRL,2015,3.3
IRL,2016,3.2
IRL,2017,3.2
IRL,2018,3.1
IRN,2013,14.9
IRN,2014,14.3
IRN,2015,13.8
IRN,2016,13.3
IRN,2017,12.8
IRN,2018,12.4
IRQ,2013,26.2
IRQ,2014,25.4
IRQ,2015,24.6
IRQ,2016,23.9
IRQ,2017,23.2
IRQ,2018,22.5
ISL,2013,1.8
ISL,2014,1.8
ISL,2015,1.7
ISL,2016,1.6
ISL,2017,1.6
ISL,2018,1.5
ISR,2013,3.3
ISR,2014,3.2
ISR,2015,3.1
ISR,2016,3.1
ISR,2017,3
ISR,2018,3
ITA,2013,3.1
ITA,2014,3
ITA,2015,2.9
ITA,2016,2.8
ITA,2017,2.7
ITA,2018,2.6
JAM,2013,14.5
JAM,2014,14.1
JAM,2015,13.7
JAM,2016,13.2
JAM,2017,12.8
JAM,2018,12.4
JOR,2013,16
JOR,2014,15.6
JOR,2015,15.2
JOR,2016,14.8
JOR,2017,14.3
JOR,2018,13.9
JPN,2013,2.1
JPN,2014,2.1
JPN,2015,2.1
JPN,2016,1.9
JPN,2017,1.9
JPN,2018,1.8
KAZ,2013,13
KAZ,2014,11.7
KAZ,2015,10.6
KAZ,2016,9.8
KAZ,2017,9.2
KAZ,2018,8.8
KEN,2013,35.8
KEN,2014,34.7
KEN,2015,33.3
KEN,2016,32.4
KEN,2017,31.8
KEN,2018,30.6
KGZ,2013,22
KGZ,2014,20.9
KGZ,2015,19.9
KGZ,2016,18.9
KGZ,2017,17.9
KGZ,2018,16.9
KHM,2013,30.5
KHM,2014,28.9
KHM,2015,27.5
KHM,2016,26.2
KHM,2017,25.1
KHM,2018,24
KIR,2013,46.7
KIR,2014,45.6
KIR,2015,44.6
KIR,2016,43.5
KIR,2017,42.4
KIR,2018,41.2
KNA,2013,11.2
KNA,2014,10.9
KNA,2015,10.7
KNA,2016,10.4
KNA,2017,10.1
KNA,2018,9.8
KOR,2013,3.2
KOR,2014,3.1
KOR,2015,3
KOR,2016,2.9
KOR,2017,2.8
KOR,2018,2.7
KWT,2013,7.9
KWT,2014,7.6
KWT,2015,7.3
KWT,2016,7.1
KWT,2017,6.9
KWT,2018,6.7
LAO,2013,45.6
LAO,2014,43.7
LAO,2015,42
LAO,2016,40.4
LAO,2017,39
LAO,2018,37.6
LBN,2013,7.7
LBN,2014,7.4
LBN,2015,7.1
LBN,2016,6.8
LBN,2017,6.6
LBN,2018,6.4
LBR,2013,62.5
LBR,2014,60.5
LBR,2015,58.5
LBR,2016,56.7
LBR,2017,55
LBR,2018,53.5
LBY,2013,12.4
LBY,2014,11.9
LBY,2015,11.4
LBY,2016,11
LBY,2017,10.6
LBY,2018,10.2
LCA,2013,16.2
LCA,2014,16.1
LCA,2015,15.9
LCA,2016,15.6
LCA,2017,15.2
LCA,2018,14.9
LKA,2013,8.6
LKA,2014,8
LKA,2015,7.5
LKA,2016,7
LKA,2017,6.7
LKA,2018,6.4
LSO,2013,73
LSO,2014,71.3
LSO,2015,71.2
LSO,2016,70.3
LSO,2017,68.8
LSO,2018,65.7
LTU,2013,4.1
LTU,2014,4
LTU,2015,4
LTU,2016,3.8
LTU,2017,3.6
LTU,2018,3.3
LUX,2013,2.2
LUX,2014,2.2
LUX,2015,2.1
LUX,2016,2.1
LUX,2017,2
LUX,2018,1.9
LVA,2013,5.1
LVA,2014,4.6
LVA,2015,4.2
LVA,2016,3.9
LVA,2017,3.6
LVA,2018,3.3
MAR,2013,24
MAR,2014,22.9
MAR,2015,21.9
MAR,2016,20.9
MAR,2017,20.1
MAR,2018,19.2
MCO,2013,3
MCO,2014,3
MCO,2015,2.9
MCO,2016,2.8
