country_iso,year,diversity_ethnicFractionalization,diversity_linguisticFractionalization,diversity_religiousFractionalization
BRN,2020,0.5416,0.3438,0.4404
MEX,2020,0.5418,0.1511,0.1796
FJI,2020,0.5479,0.5479,0.5682
PAN,2020,0.5528,0.3873,0.3338
MDA,2020,0.5535,0.5533,0.5603
BEL,2020,0.5554,0.5409,0.2127
LIE,2020,0.5726,0.2246,0.3343
SRB,2020,0.5736,0.0,0.0
NRU,2020,0.5832,0.6161,0.6194
LVA,2020,0.5867,0.5795,0.5556
MYS,2020,0.588,0.597,0.6657
CUB,2020,0.5908,0.0,0.5059
JOR,2020,0.5926,0.0396,0.0659
COL,2020,0.6014,0.0193,0.1478
BTN,2020,0.605,0.6056,0.3787
MRT,2020,0.615,0.326,0.0149
KAZ,2020,0.6171,0.6621,0.5898
GUY,2020,0.6195,0.0688,0.7876
ARE,2020,0.6252,0.4874,0.331
BIH,2020,0.63,0.6751,0.6851
NAM,2020,0.6329,0.7005,0.6626
THA,2020,0.6338,0.6344,0.0994
TTO,2020,0.6475,0.1251,0.7936
NER,2020,0.6518,0.6519,0.2013
ERI,2020,0.6524,0.653,0.4253
ECU,2020,0.655,0.1308,0.1417
PER,2020,0.6566,0.3358,0.1988
KWT,2020,0.6604,0.3444,0.6745
NPL,2020,0.6632,0.7167,0.1417
IRN,2020,0.6684,0.7462,0.1152
GHA,2020,0.6733,0.6731,0.7987
MWI,2020,0.6744,0.6023,0.8192
KGZ,2020,0.6752,0.5949,0.447
MCO,2020,0.6838,0.7305,0.3047
MLI,2020,0.6906,0.8388,0.182
MOZ,2020,0.6932,0.8125,0.6759
SEN,2020,0.6939,0.7081,0.1497
FSM,2020,0.7005,0.7483,0.6469
BLZ,2020,0.7015,0.6303,0.5813
PAK,2020,0.7098,0.719,0.3848
TGO,2020,0.7099,0.898,0.6596
CAN,2020,0.7124,0.5772,0.6958
AND,2020,0.7139,0.6848,0.2326
SDN,2020,0.7147,0.719,0.4307
ETH,2020,0.7235,0.8073,0.6249
SUR,2020,0.7332,0.331,0.791
IDN,2020,0.7351,0.768,0.234
TZA,2020,0.7353,0.8983,0.6334
BFA,2020,0.7377,0.7228,0.5798
GIN,2020,0.7389,0.7725,0.2649
BOL,2020,0.7396,0.224,0.2085
QAT,2020,0.7456,0.48,0.095
ZAF,2020,0.7517,0.8652,0.8603
GAB,2020,0.769,0.7821,0.6674
AFG,2020,0.7693,0.6141,0.2717
ZMB,2020,0.7808,0.8734,0.7359
GMB,2020,0.7864,0.8076,0.097
AGO,2020,0.7867,0.787,0.6276
BEN,2020,0.7872,0.7905,0.5544
LBY,2020,0.792,0.0758,0.057
DJI,2020,0.7962,0.6558,0.0435
GNB,2020,0.8082,0.8141,0.6128
SOM,2020,0.8117,0.0326,0.0028
SLE,2020,0.8191,0.7634,0.5395
CIV,2020,0.8204,0.7842,0.7551
CAF,2020,0.8295,0.8334,0.7916
NGA,2020,0.8505,0.8316,0.7421
KEN,2020,0.8588,0.886,0.7765
TCD,2020,0.862,0.8635,0.6411
CMR,2020,0.8635,0.8898,0.7338
COD,2020,0.8747,0.6871,0.6642
COG,2020,0.8747,0.8705,0.7021
MDG,2020,0.8791,0.0204,0.5191
LBR,2020,0.9084,0.9038,0.4883
UGA,2020,0.9302,0.9227,0.6332
