country_iso,year,life_expectancy
JAM,2014,74.042
JAM,2015,74.098
JAM,2016,74.175
JAM,2017,74.267
JOR,2013,73.851
JOR,2014,73.969
JOR,2015,74.078
JOR,2016,74.184
JOR,2017,74.292
JPN,2013,83.33195
JPN,2014,83.5878
JPN,2015,83.7939
JPN,2016,83.98488
JPN,2017,84.09976
KAZ,2013,70.45
KAZ,2014,71.62
KAZ,2015,72
KAZ,2016,72.3
KAZ,2017,72.95
KEN,2013,63.419
KEN,2014,64.135
KEN,2015,64.798
KEN,2016,65.393
KEN,2017,65.909
KGZ,2013,70.20244
KGZ,2014,70.40244
KGZ,2015,70.65122
KGZ,2016,70.95122
KGZ,2017,71.2
KHM,2013,67.888
KHM,2014,68.273
KHM,2015,68.637
KHM,2016,68.977
KHM,2017,69.289
KIR,2013,66.69
KIR,2014,66.995
KIR,2015,67.291
KIR,2016,67.577
KIR,2017,67.851
KOR,2013,81.27073
KOR,2014,81.72195
KOR,2015,82.02439
KOR,2016,82.27561
KOR,2017,82.62683
KWT,2013,74.885
KWT,2014,75.019
KWT,2015,75.13
KWT,2016,75.224
KWT,2017,75.311
LAO,2013,65.717
LAO,2014,66.144
LAO,2015,66.546
LAO,2016,66.924
LAO,2017,67.277
LBN,2013,78.683
LBN,2014,78.732
LBN,2015,78.768
LBN,2016,78.8
LBN,2017,78.833
LBR,2013,61.186
LBR,2014,61.723
LBR,2015,62.269
LBR,2016,62.802
LBR,2017,63.295
LBY,2013,71.907
LBY,2014,71.981
LBY,2015,72.121
LBY,2016,72.311
LBY,2017,72.52
LCA,2013,75.286
LCA,2014,75.44
LCA,2015,75.596
LCA,2016,75.752
LCA,2017,75.907
LIE,2013,82.26098
LIE,2014,82.07317
LIE,2015,82.6561
LIE,2016,82.25854
LIE,2017,82.25854
LKA,2013,75.974
LKA,2014,76.147
LKA,2015,76.316
LKA,2016,76.482
LKA,2017,76.648
LSO,2013,48.663
LSO,2014,49.891
LSO,2015,51.038
LSO,2016,52.059
LSO,2017,52.947
LTU,2013,73.91463
LTU,2014,74.51707
LTU,2015,74.32195
LTU,2016,74.67073
LTU,2017,74.67073
LUX,2013,81.8
LUX,2014,82.22927
LUX,2015,82.29268
LUX,2016,82.68537
LUX,2017,82.68537
LVA,2013,73.98293
LVA,2014,74.12439
LVA,2015,74.48049
LVA,2016,74.58049
LVA,2017,74.68049
MAC,2013,83.361
MAC,2014,83.543
MAC,2015,83.707
MAC,2016,83.854
MAC,2017,83.989
MAF,2013,79.17073
MAF,2014,79.32195
MAF,2015,79.47073
MAF,2016,79.62195
MAF,2017,79.72195
MAR,2013,75.227
MAR,2014,75.477
MAR,2015,75.726
MAR,2016,75.974
MAR,2017,76.218
MDA,2013,70.968
MDA,2014,71.267
MDA,2015,71.478
MDA,2016,71.617
MDA,2017,71.717
MDG,2013,64.713
MDG,2014,65.133
MDG,2015,65.539
MDG,2016,65.931
MDG,2017,66.311
MDV,2013,77.018
MDV,2014,77.36
MDV,2015,77.691
MDV,2016,78.013
MDV,2017,78.325
MEX,2013,74.93
MEX,2014,74.908
MEX,2015,74.904
MEX,2016,74.917
MEX,2017,74.947
MKD,2013,75.171
MKD,2014,75.299
MKD,2015,75.406
MKD,2016,75.498
MKD,2017,75.589
MLI,2013,56.578
MLI,2014,57.036
MLI,2015,57.509
MLI,2016,57.987
MLI,2017,58.452
MLT,2013,81.74634
MLT,2014,82.04634
MLT,2015,81.89756
MLT,2016,82.45366
MLT,2017,82.45366
MMR,2013,64.921
MMR,2014,65.378
MMR,2015,65.81
MMR,2016,66.205
MMR,2017,66.558
MNE,2013,76.089
MNE,2014,76.297
MNE,2015,76.452
MNE,2016,76.568
MNE,2017,76.667
MNG,2013,68.566
MNG,2014,68.863
MNG,2015,69.111
MNG,2016,69.321
MNG,2017,69.509
MOZ,2013,54.949
MOZ,2014,56.062
MOZ,2015,57.206
MOZ,2016,58.309
MOZ,2017,59.309
MRT,2013,63.366
MRT,2014,63.654
MRT,2015,63.936
MRT,2016,64.208
MRT,2017,64.464
MUS,2013,74.01707
MUS,2014,74.19439
MUS,2015,74.35317
MUS,2016,74.39488
MUS,2017,74.51463
MWI,2013,59.931
MWI,2014,61.042
MWI,2015,61.953
MWI,2016,62.681
MWI,2017,63.279
MYS,2013,75.072
MYS,2014,75.268
MYS,2015,75.461
MYS,2016,75.649
MYS,2017,75.828
NAM,2013,60.513
NAM,2014,61.425
NAM,2015,62.119
NAM,2016,62.625
NAM,2017,63.021
NCL,2013,77.17621
NCL,2014,77.25287
NCL,2015,77.2443
NCL,2016,76.9615
NCL,2017,77.14878
NER,2013,59.455
NER,2014,60.07
NER,2015,60.631
NER,2016,61.137
NER,2017,61.599
NGA,2013,52.228
NGA,2014,52.672
NGA,2015,53.112
NGA,2016,53.541
NGA,2017,53.95
NIC,2013,73.197
NIC,2014,73.429
NIC,2015,73.649
NIC,2016,73.86
NIC,2017,74.068
NLD,2013,81.30488
NLD,2014,81.70732
NLD,2015,81.50976
NLD,2016,81.56098
NLD,2017,81.56098
NOR,2013,81.75122
NOR,2014,82.1
NOR,2015,82.30488
NOR,2016,82.40732
NOR,2017,82.50976
NPL,2013,68.806
NPL,2014,69.168
NPL,2015,69.515
NPL,2016,69.848
NPL,2017,70.169
NZL,2013,81.40732
NZL,2014,81.40488
NZL,2015,81.45683
NZL,2016,81.61244
NZL,2017,81.65854
OMN,2013,76.388
OMN,2014,76.634
OMN,2015,76.887
OMN,2016,77.142
OMN,2017,77.393
PAK,2013,66.117
PAK,2014,66.36
PAK,2015,66.577
PAK,2016,66.77
PAK,2017,66.947
PAN,2013,77.386
PAN,2014,77.583
PAN,2015,77.776
PAN,2016,77.964
PAN,2017,78.149
PER,2013,75.258
PER,2014,75.529
PER,2015,75.792
PER,2016,76.044
PER,2017,76.286
PHL,2013,70.315
PHL,2014,70.481
PHL,2015,70.644
PHL,2016,70.802
PHL,2017,70.952
PNG,2013,62.892
PNG,2014,63.181
PNG,2015,63.466
PNG,2016,63.744
PNG,2017,64.01
POL,2013,77
POL,2014,77.60244
POL,2015,77.45122
POL,2016,77.85122
POL,2017,77.85122
PRI,2013,79.03434
PRI,2014,79.20246
PRI,2015,79.35349
PRI,2016,79.49498
PRI,2017,79.63454
PRK,2013,70.853
PRK,2014,71.198
PRK,2015,71.481
PRK,2016,71.711
PRK,2017,71.91
PRT,2013,80.72195
PRT,2014,81.12195
PRT,2015,81.12439
PRT,2016,81.12439
PRT,2017,81.12439
PRY,2013,73.274
PRY,2014,73.473
PRY,2015,73.662
PRY,2016,73.836
PRY,2017,73.992
PSE,2013,73.17
PSE,2014,73.303
PSE,2015,73.442
PSE,2016,73.589
PSE,2017,73.74
PYF,2013,76.307
PYF,2014,76.546
PYF,2015,76.787
PYF,2016,77.024
PYF,2017,77.251
QAT,2013,79.527
QAT,2014,79.646
QAT,2015,79.758
QAT,2016,79.868
QAT,2017,79.981
ROU,2013,75.06341
ROU,2014,74.90976
ROU,2015,75.0122
ROU,2016,75.30976
ROU,2017,75.30976
RUS,2013,70.57878
RUS,2014,70.74366
RUS,2015,71.18341
RUS,2016,71.65122
RUS,2017,72.11902
RWA,2013,66.219
RWA,2014,66.884
RWA,2015,67.45
RWA,2016,67.93
RWA,2017,68.341
SAU,2013,74.402
SAU,2014,74.533
SAU,2015,74.651
SAU,2016,74.761
SAU,2017,74.874
SDN,2013,63.875
SDN,2014,64.169
SDN,2015,64.429
SDN,2016,64.663
SDN,2017,64.881
SEN,2013,65.939
SEN,2014,66.37
SEN,2015,66.747
SEN,2016,67.078
SEN,2017,67.38
SGP,2013,82.24634
SGP,2014,82.49512
SGP,2015,82.7439
SGP,2016,82.84634
SGP,2017,82.89512
SLB,2013,71.601
SLB,2014,71.896
SLB,2015,72.173
SLB,2016,72.424
SLB,2017,72.645
SLE,2013,51.731
SLE,2014,52.372
SLE,2015,52.941
SLE,2016,53.444
SLE,2017,53.895
SLV,2013,71.935
SLV,2014,72.175
SLV,2015,72.412
SLV,2016,72.644
SLV,2017,72.872
SOM,2013,55.104
SOM,2014,55.509
SOM,2015,55.92
SOM,2016,56.324
SOM,2017,56.709
SRB,2013,75.18537
SRB,2014,75.33659
SRB,2015,75.2878
SRB,2016,75.6878
SRB,2017,76.0878
SSD,2013,56.2
SSD,2014,56.552
SSD,2015,56.855
SSD,2016,57.12
SSD,2017,57.365
STP,2013,68.695
STP,2014,69.052
STP,2015,69.377
STP,2016,69.67
STP,2017,69.933
SUR,2013,71.002
SUR,2014,71.133
SUR,2015,71.249
SUR,2016,71.358
SUR,2017,71.463
SVK,2013,76.4122
SVK,2014,76.8122
SVK,2015,76.56341
SVK,2016,77.16585
SVK,2017,77.16585
SVN,2013,80.32195
SVN,2014,81.07805
SVN,2015,80.77561
SVN,2016,81.17561
SVN,2017,81.17561
SWE,2013,81.9561
SWE,2014,82.25366
SWE,2015,82.20488
SWE,2016,82.30732
SWE,2017,82.30732
SYC,2013,73.11951
SYC,2014,73.22927
SYC,2015,74.29512
SYC,2016,74.30976
SYC,2017,74.3
SYR,2013,70.049
SYR,2014,69.821
SYR,2015,69.908
SYR,2016,70.315
SYR,2017,70.967
TCD,2013,52.386
TCD,2014,52.789
TCD,2015,53.137
TCD,2016,53.438
TCD,2017,53.712
TGO,2013,59.16
TGO,2014,59.58
TGO,2015,59.927
TGO,2016,60.22
TGO,2017,60.489
THA,2013,75.378
THA,2014,75.747
THA,2015,76.091
THA,2016,76.403
THA,2017,76.683
TJK,2013,69.609
TJK,2014,69.874
TJK,2015,70.137
TJK,2016,70.397
TJK,2017,70.647
TKM,2013,67.375
TKM,2014,67.552
TKM,2015,67.704
TKM,2016,67.835
TKM,2017,67.956
TLS,2013,67.953
TLS,2014,68.197
TLS,2015,68.459
TLS,2016,68.735
TLS,2017,69.007
TON,2013,70.335
TON,2014,70.427
TON,2015,70.517
TON,2016,70.607
TON,2017,70.701
TTO,2013,72.582
TTO,2014,72.768
TTO,2015,72.941
TTO,2016,73.1
TTO,2017,73.245
TUN,2013,75.552
TUN,2014,75.734
TUN,2015,75.922
TUN,2016,76.115
TUN,2017,76.31
TUR,2013,75.784
TUR,2014,76.172
TUR,2015,76.532
TUR,2016,76.86
TUR,2017,77.161
TZA,2013,61.398
TZA,2014,62.288
TZA,2015,63.111
TZA,2016,63.844
TZA,2017,64.479
UGA,2013,59.881
UGA,2014,60.669
UGA,2015,61.373
UGA,2016,61.986
UGA,2017,62.516
UKR,2013,71.15951
UKR,2014,71.18659
UKR,2015,71.18951
UKR,2016,71.47634
UKR,2017,71.78098
URY,2013,77.124
URY,2014,77.244
URY,2015,77.369
URY,2016,77.498
URY,2017,77.632
USA,2013,78.74146
USA,2014,78.84146
USA,2015,78.69024
USA,2016,78.53902
USA,2017,78.53902
UZB,2013,70.41
UZB,2014,70.671
UZB,2015,70.928
UZB,2016,71.171
UZB,2017,71.388
VCT,2013,71.939
VCT,2014,72.01
VCT,2015,72.095
VCT,2016,72.193
VCT,2017,72.3
VEN,2013,72.918
VEN,2014,72.762
VEN,2015,72.584
VEN,2016,72.405
VEN,2017,72.246
VIR,2013,78.86829
VIR,2014,78.96829
VIR,2015,79.16829
VIR,2016,79.26829
VIR,2017,79.41951
VNM,2013,75.006
VNM,2014,75.056
VNM,2015,75.11
VNM,2016,75.172
VNM,2017,75.241
VUT,2013,69.57
VUT,2014,69.719
VUT,2015,69.869
VUT,2016,70.021
VUT,2017,70.172
WSM,2013,72.351
WSM,2014,72.549
WSM,2015,72.73
WSM,2016,72.895
WSM,2017,73.046
YEM,2013,66.016
YEM,2014,66.066
YEM,2015,66.085
YEM,2016,66.087
YEM,2017,66.086
ZAF,2013,61.099
ZAF,2014,61.968
ZAF,2015,62.649
ZAF,2016,63.153
ZAF,2017,63.538
ZMB,2013,59.746
ZMB,2014,60.831
ZMB,2015,61.737
ZMB,2016,62.464
ZMB,2017,63.043
ZWE,2013,56.897
ZWE,2014,58.41
ZWE,2015,59.534
ZWE,2016,60.294
ZWE,2017,60.812
