country_iso,year,mobile_subscriptions
NGA,1970,0.0
NIC,1970,0.0
NLD,1970,0.0
NOR,1970,0.0
NPL,1970,0.0
NRU,1970,0.0
NZL,1970,0.0
OMN,1970,0.0
PAK,1970,0.0
PAN,1970,0.0
PER,1970,0.0
PHL,1970,0.0
PNG,1970,0.0
POL,1970,0.0
PRI,1970,0.0
PRK,1970,0.0
PRT,1970,0.0
PRY,1970,0.0
PYF,1970,0.0
QAT,1970,0.0
ROU,1970,0.0
RUS,1970,0.0
RWA,1970,0.0
SDN,1970,0.0
SEN,1970,0.0
SGP,1970,0.0
SLB,1970,0.0
SLE,1970,0.0
SLV,1970,0.0
SOM,1970,0.0
STP,1970,0.0
SUR,1970,0.0
SVK,1970,0.0
SVN,1970,0.0
SWE,1970,0.0
SWZ,1970,0.0
SYC,1970,0.0
SYR,1970,0.0
TCA,1970,0.0
TCD,1970,0.0
TGO,1970,0.0
THA,1970,0.0
TJK,1970,0.0
TKM,1970,0.0
TON,1970,0.0
TTO,1970,0.0
TUN,1970,0.0
TUR,1970,0.0
TUV,1970,0.0
TZA,1970,0.0
UGA,1970,0.0
UKR,1970,0.0
URY,1970,0.0
USA,1970,0.0
UZB,1970,0.0
VCT,1970,0.0
VEN,1970,0.0
VGB,1970,0.0
VIR,1970,0.0
VNM,1970,0.0
VUT,1970,0.0
WSM,1970,0.0
YEM,1970,0.0
ZAF,1970,0.0
ZMB,1970,0.0
ZWE,1970,0.0
ABW,1975,0.0
AFG,1975,0.0
AGO,1975,0.0
ALB,1975,0.0
AND,1975,0.0
ARG,1975,0.0
ARM,1975,0.0
ASM,1975,0.0
ATG,1975,0.0
AUS,1975,0.0
AUT,1975,0.0
AZE,1975,0.0
BDI,1975,0.0
BEL,1975,0.0
BEN,1975,0.0
BFA,1975,0.0
BGD,1975,0.0
BGR,1975,0.0
BHR,1975,0.0
BHS,1975,0.0
BIH,1975,0.0
BLR,1975,0.0
BLZ,1975,0.0
BMU,1975,0.0
BOL,1975,0.0
BRA,1975,0.0
BRB,1975,0.0
BRN,1975,0.0
BTN,1975,0.0
BWA,1975,0.0
CAF,1975,0.0
CAN,1975,0.0
CHE,1975,0.0
CHL,1975,0.0
CHN,1975,0.0
CIV,1975,0.0
CMR,1975,0.0
COD,1975,0.0
COG,1975,0.0
COL,1975,0.0
COM,1975,0.0
CPV,1975,0.0
CRI,1975,0.0
CUB,1975,0.0
CYM,1975,0.0
CYP,1975,0.0
CZE,1975,0.0
DEU,1975,0.0
DJI,1975,0.0
DMA,1975,0.0
DNK,1975,0.0
DOM,1975,0.0
DZA,1975,0.0
ECU,1975,0.0
EGY,1975,0.0
ERI,1975,0.0
ESP,1975,0.0
EST,1975,0.0
ETH,1975,0.0
FIN,1975,0.0
FJI,1975,0.0
FRA,1975,0.0
FRO,1975,0.0
FSM,1975,0.0
GAB,1975,0.0
GBR,1975,0.0
GEO,1975,0.0
GHA,1975,0.0
GIB,1975,0.0
GIN,1975,0.0
GMB,1975,0.0
GNB,1975,0.0
GNQ,1975,0.0
GRC,1975,0.0
GRD,1975,0.0
GRL,1975,0.0
GTM,1975,0.0
GUM,1975,0.0
GUY,1975,0.0
HKG,1975,0.0
HND,1975,0.0
HRV,1975,0.0
HTI,1975,0.0
HUN,1975,0.0
IDN,1975,0.0
IND,1975,0.0
IRL,1975,0.0
IRN,1975,0.0
IRQ,1975,0.0
ISL,1975,0.0
ITA,1975,0.0
JAM,1975,0.0
JOR,1975,0.0
JPN,1975,0.0
KAZ,1975,0.0
KEN,1975,0.0
KGZ,1975,0.0
KHM,1975,0.0
KIR,1975,0.0
KNA,1975,0.0
KOR,1975,0.0
KWT,1975,0.0
LAO,1975,0.0
LBN,1975,0.0
LBR,1975,0.0
LBY,1975,0.0
LCA,1975,0.0
LKA,1975,0.0
LSO,1975,0.0
LTU,1975,0.0
LUX,1975,0.0
LVA,1975,0.0
MAC,1975,0.0
MAR,1975,0.0
MCO,1975,0.0
MDA,1975,0.0
MDG,1975,0.0
MDV,1975,0.0
MEX,1975,0.0
MHL,1975,0.0
MKD,1975,0.0
MLI,1975,0.0
MLT,1975,0.0
MMR,1975,0.0
MNG,1975,0.0
MNP,1975,0.0
MOZ,1975,0.0
MRT,1975,0.0
MUS,1975,0.0
MWI,1975,0.0
MYS,1975,0.0
NAM,1975,0.0
NCL,1975,0.0
NER,1975,0.0
NGA,1975,0.0
NIC,1975,0.0
NLD,1975,0.0
NOR,1975,0.0
NPL,1975,0.0
NRU,1975,0.0
NZL,1975,0.0
OMN,1975,0.0
PAK,1975,0.0
PAN,1975,0.0
PER,1975,0.0
PHL,1975,0.0
PNG,1975,0.0
POL,1975,0.0
PRI,1975,0.0
PRK,1975,0.0
PRT,1975,0.0
PRY,1975,0.0
PYF,1975,0.0
QAT,1975,0.0
ROU,1975,0.0
RUS,1975,0.0
RWA,1975,0.0
SDN,1975,0.0
SEN,1975,0.0
SGP,1975,0.0
SLB,1975,0.0
SLE,1975,0.0
SLV,1975,0.0
SOM,1975,0.0
STP,1975,0.0
SUR,1975,0.0
SVK,1975,0.0
SVN,1975,0.0
SWE,1975,0.0
SWZ,1975,0.0
SYC,1975,0.0
SYR,1975,0.0
TCA,1975,0.0
TCD,1975,0.0
TGO,1975,0.0
THA,1975,0.0
TJK,1975,0.0
TKM,1975,0.0
TON,1975,0.0
TTO,1975,0.0
TUN,1975,0.0
TUR,1975,0.0
TUV,1975,0.0
TZA,1975,0.0
UGA,1975,0.0
UKR,1975,0.0
URY,1975,0.0
USA,1975,0.0
UZB,1975,0.0
VCT,1975,0.0
VEN,1975,0.0
VGB,1975,0.0
VIR,1975,0.0
VNM,1975,0.0
VUT,1975,0.0
WSM,1975,0.0
YEM,1975,0.0
ZAF,1975,0.0
ZMB,1975,0.0
ZWE,1975,0.0
ABW,1976,0.0
AFG,1976,0.0
AGO,1976,0.0
ALB,1976,0.0
AND,1976,0.0
ARG,1976,0.0
ARM,1976,0.0
ASM,1976,0.0
ATG,1976,0.0
AUS,1976,0.0
AUT,1976,0.0
AZE,1976,0.0
BDI,1976,0.0
BEL,1976,0.0
BEN,1976,0.0
BFA,1976,0.0
BGD,1976,0.0
BGR,1976,0.0
BHR,1976,0.0
BHS,1976,0.0
BIH,1976,0.0
BLR,1976,0.0
BLZ,1976,0.0
BMU,1976,0.0
BOL,1976,0.0
BRA,1976,0.0
BRB,1976,0.0
BRN,1976,0.0
BTN,1976,0.0
BWA,1976,0.0
CAF,1976,0.0
CAN,1976,0.0
CHE,1976,0.0
CHL,1976,0.0
CHN,1976,0.0
CIV,1976,0.0
CMR,1976,0.0
COD,1976,0.0
COG,1976,0.0
COL,1976,0.0
COM,1976,0.0
CPV,1976,0.0
CRI,1976,0.0
CUB,1976,0.0
CYM,1976,0.0
CYP,1976,0.0
CZE,1976,0.0
DEU,1976,0.0
DJI,1976,0.0
DMA,1976,0.0
DNK,1976,0.0
DOM,1976,0.0
DZA,1976,0.0
ECU,1976,0.0
EGY,1976,0.0
ERI,1976,0.0
ESP,1976,0.0
EST,1976,0.0
ETH,1976,0.0
FIN,1976,0.0
FJI,1976,0.0
FRA,1976,0.0
FRO,1976,0.0
FSM,1976,0.0
GAB,1976,0.0
GBR,1976,0.0
GEO,1976,0.0
GHA,1976,0.0
GIB,1976,0.0
GIN,1976,0.0
GMB,1976,0.0
GNB,1976,0.0
GNQ,1976,0.0
GRC,1976,0.0
GRD,1976,0.0
GRL,1976,0.0
GTM,1976,0.0
GUM,1976,0.0
GUY,1976,0.0
HKG,1976,0.0
HND,1976,0.0
HRV,1976,0.0
HTI,1976,0.0
HUN,1976,0.0
IDN,1976,0.0
IND,1976,0.0
IRL,1976,0.0
IRN,1976,0.0
IRQ,1976,0.0
ISL,1976,0.0
ITA,1976,0.0
JAM,1976,0.0
JOR,1976,0.0
JPN,1976,0.0
KAZ,1976,0.0
KEN,1976,0.0
KGZ,1976,0.0
KHM,1976,0.0
KIR,1976,0.0
KNA,1976,0.0
KOR,1976,0.0
KWT,1976,0.0
LAO,1976,0.0
LBN,1976,0.0
LBR,1976,0.0
LBY,1976,0.0
LCA,1976,0.0
LKA,1976,0.0
LSO,1976,0.0
LTU,1976,0.0
LUX,1976,0.0
LVA,1976,0.0
MAC,1976,0.0
MAR,1976,0.0
MCO,1976,0.0
MDA,1976,0.0
MDG,1976,0.0
MDV,1976,0.0
MEX,1976,0.0
MHL,1976,0.0
MKD,1976,0.0
MLI,1976,0.0
MLT,1976,0.0
MMR,1976,0.0
MNG,1976,0.0
MNP,1976,0.0
MOZ,1976,0.0
MRT,1976,0.0
MUS,1976,0.0
MWI,1976,0.0
MYS,1976,0.0
NAM,1976,0.0
NCL,1976,0.0
NER,1976,0.0
NGA,1976,0.0
NIC,1976,0.0
NLD,1976,0.0
NOR,1976,0.0
NPL,1976,0.0
NRU,1976,0.0
NZL,1976,0.0
OMN,1976,0.0
PAK,1976,0.0
PAN,1976,0.0
PER,1976,0.0
PHL,1976,0.0
PNG,1976,0.0
POL,1976,0.0
PRI,1976,0.0
PRK,1976,0.0
PRT,1976,0.0
PRY,1976,0.0
PYF,1976,0.0
QAT,1976,0.0
ROU,1976,0.0
RUS,1976,0.0
RWA,1976,0.0
SDN,1976,0.0
SEN,1976,0.0
SGP,1976,0.0
SLB,1976,0.0
SLE,1976,0.0
SLV,1976,0.0
SOM,1976,0.0
STP,1976,0.0
SUR,1976,0.0
SVK,1976,0.0
SVN,1976,0.0
SWE,1976,0.0
SWZ,1976,0.0
SYC,1976,0.0
SYR,1976,0.0
TCA,1976,0.0
TCD,1976,0.0
TGO,1976,0.0
THA,1976,0.0
TJK,1976,0.0
TKM,1976,0.0
TON,1976,0.0
TTO,1976,0.0
TUN,1976,0.0
TUR,1976,0.0
TUV,1976,0.0
TZA,1976,0.0
UGA,1976,0.0
UKR,1976,0.0
URY,1976,0.0
USA,1976,0.0
UZB,1976,0.0
VCT,1976,0.0
VEN,1976,0.0
VGB,1976,0.0
VIR,1976,0.0
VNM,1976,0.0
VUT,1976,0.0
WSM,1976,0.0
YEM,1976,0.0
ZAF,1976,0.0
ZMB,1976,0.0
ZWE,1976,0.0
ABW,1977,0.0
AFG,1977,0.0
AGO,1977,0.0
ALB,1977,0.0
AND,1977,0.0
ARG,1977,0.0
ARM,1977,0.0
ASM,1977,0.0
ATG,1977,0.0
AUS,1977,0.0
AUT,1977,0.0
AZE,1977,0.0
BDI,1977,0.0
BEL,1977,0.0
BEN,1977,0.0
BFA,1977,0.0
BGD,1977,0.0
BGR,1977,0.0
BHR,1977,0.0
BHS,1977,0.0
BIH,1977,0.0
BLR,1977,0.0
BLZ,1977,0.0
BMU,1977,0.0
BOL,1977,0.0
BRA,1977,0.0
BRB,1977,0.0
BRN,1977,0.0
BTN,1977,0.0
BWA,1977,0.0
CAF,1977,0.0
CAN,1977,0.0
CHE,1977,0.0
CHL,1977,0.0
CHN,1977,0.0
CIV,1977,0.0
CMR,1977,0.0
COD,1977,0.0
COG,1977,0.0
COL,1977,0.0
COM,1977,0.0
CPV,1977,0.0
CRI,1977,0.0
CUB,1977,0.0
CYM,1977,0.0
CYP,1977,0.0
CZE,1977,0.0
DEU,1977,0.0
DJI,1977,0.0
DMA,1977,0.0
DNK,1977,0.0
DOM,1977,0.0
DZA,1977,0.0
ECU,1977,0.0
EGY,1977,0.0
ERI,1977,0.0
ESP,1977,0.0
EST,1977,0.0
ETH,1977,0.0
FIN,1977,0.0
FJI,1977,0.0
FRA,1977,0.0
FRO,1977,0.0
FSM,1977,0.0
GAB,1977,0.0
GBR,1977,0.0
